time,x,y,theta,speed,mti,mte,dti,dte
43-28-454932,0,0,0,0.0,,,,
43-28-466546,0,0,0,0.0,,,,
43-28-477349,0,0,0,0.0,,,,
43-28-487953,0,0,0,0.0,,,,
43-28-498977,0,0,0,0.0,,,,
43-28-510361,0,0,0,0.0,,,,
43-28-522437,0,0,0,0.0,,,,
43-28-532999,0,0,0,0.0,,,,
43-28-546310,0,0,0,0.0,,,,
43-28-557075,0,0,0,0.0,,,,
43-28-568711,0,0,0,0.0,,,,
43-28-579092,0,0,0,0.0,,,,
43-28-589253,0,0,0,0.0,,,,
43-28-598381,0,0,0,0.0,,,,
43-28-608823,0,0,0,0.0,,,,
43-28-620148,0,0,0,0.0,,,,
43-28-630482,0,0,0,0.0,,,,
43-28-642667,0,0,0,0.0,,,,
43-28-653637,0,0,0,0.0,,,,
43-28-663420,0,0,0,0.0,,,,
43-28-675777,0,0,0,0.0,,,,
43-28-686417,0,0,0,0.01250625312656328,,,,
43-28-697709,0,0,0,0.01250625312656328,,,,
43-28-707693,0,0,0,0.01250625312656328,,,,
43-28-718331,0,0,0,0.12506253126563283,,,,
43-28-729743,0,0,0,0.12506253126563283,,,,
43-28-739871,0,0,0,0.12506253126563283,,,,
43-28-750646,0,0,0,0.12506253126563283,,,,
43-28-762583,0,0,0,0.12506253126563283,,,,
43-28-774276,0,0,0,0.12506253126563283,,,,
43-28-786405,0,0,0,0.22511255627813906,,,,
43-28-797277,0,0,0,0.22511255627813906,,,,
43-28-808342,0,0,0,0.22511255627813906,,,,
43-28-818910,0,0,0,0.22511255627813906,,,,
43-28-829492,0,0,0,0.2751375687843922,,,,
43-28-847432,0,0,0,0.2751375687843922,,,,
43-28-857020,0,0,0,0.2751375687843922,,,,
43-28-868562,0,0,0,0.2751375687843922,,,,
43-28-880935,0,0,0,0.2751375687843922,,,,
43-28-894135,0,0,0,0.3001500750375188,,,,
43-28-905806,0,0,0,0.3001500750375188,,,,
43-28-916951,0,0,0,0.3001500750375188,,,,
43-28-928640,0,0,0,0.3001500750375188,,,,
43-28-938802,0,0,0,0.3001500750375188,,,,
43-28-949750,0,0,0,0.3001500750375188,,,,
43-28-960708,0,0,0,0.3001500750375188,,,,
43-28-973083,0,0,0,0.3001500750375188,,,,
43-28-984577,0,0,0,0.3001500750375188,,,,
43-28-993997,0,0,0,0.3001500750375188,,,,
43-29-005174,0,0,0,0.3001500750375188,,,,
43-29-015369,0,0,0,0.3001500750375188,,,,
43-29-028212,0,0,0,0.3001500750375188,,,,
43-29-038444,0,0,0,0.2876438219109555,,,,
