time,x,y,theta,speed,mti,mte,dti,dte
19-21-574603,0,0,0,0.0,,,,
19-21-585951,0,0,0,0.0,,,,
19-21-596884,0,0,0,0.0,,,,
19-21-608508,0,0,0,0.0,,,,
19-21-621063,0,0,0,0.0,,,,
19-21-632457,0,0,0,0.0,,,,
19-21-645243,0,0,0,0.0,,,,
19-21-655500,0,0,0,0.0,,,,
19-21-666768,0,0,0,0.0,,,,
19-21-679839,0,0,0,0.0,,,,
19-21-692190,0,0,0,0.0,,,,
19-21-702874,0,0,0,0.0,,,,
19-21-714599,0,0,0,0.0,,,,
19-21-726425,0,0,0,0.0,,,,
19-21-737991,0,0,0,0.0,,,,
19-21-749357,0,0,0,0.0,,,,
19-21-760848,0,0,0,0.0,,,,
19-21-772320,0,0,0,0.0,,,,
19-21-784384,0,0,0,0.0,,,,
19-21-795781,0,0,0,0.0750375187593797,,,,
19-21-807466,0,0,0,0.0750375187593797,,,,
19-21-818287,0,0,0,0.0750375187593797,,,,
19-21-828769,0,0,0,0.0750375187593797,,,,
19-21-840405,0,0,0,0.0750375187593797,,,,
19-21-851874,0,0,0,0.0750375187593797,,,,
19-21-862555,0,0,0,0.16258129064532267,,,,
19-21-874119,0,0,0,0.16258129064532267,,,,
19-21-885719,0,0,0,0.16258129064532267,,,,
19-21-898222,0,0,0,0.16258129064532267,,,,
19-21-908327,0,0,0,0.2751375687843922,,,,
19-21-918959,0,0,0,0.2751375687843922,,,,
19-21-929049,0,0,0,0.2751375687843922,,,,
19-21-938680,0,0,0,0.2751375687843922,,,,
19-21-949410,0,0,0,0.2876438219109555,,,,
19-21-960314,0,0,0,0.2876438219109555,,,,
19-21-970595,0,0,0,0.2876438219109555,,,,
19-21-981333,0,0,0,0.2876438219109555,,,,
19-21-990613,0,0,0,0.2876438219109555,,,,
19-21-999709,0,0,0,0.3001500750375188,,,,
19-22-010239,0,0,0,0.3001500750375188,,,,
19-22-022243,0,0,0,0.3001500750375188,,,,
19-22-034376,0,0,0,0.3001500750375188,,,,
19-22-044995,0,0,0,0.3001500750375188,,,,
19-22-055177,0,0,0,0.3001500750375188,,,,
19-22-066234,0,0,0,0.31265632816408206,,,,
19-22-076523,0,0,0,0.31265632816408206,,,,
19-22-086123,0,0,0,0.31265632816408206,,,,
19-22-098381,0,0,0,0.3001500750375188,,,,
19-22-108911,0,0,0,0.3001500750375188,,,,
19-22-118997,0,0,0,0.3001500750375188,,,,
19-22-129126,0,0,0,0.3001500750375188,,,,
19-22-139772,0,0,0,0.3001500750375188,,,,
19-22-150751,0,0,0,0.3001500750375188,,,,
19-22-160447,0,0,0,0.2876438219109555,,,,
19-22-170214,0,0,0,0.2876438219109555,,,,
19-22-181104,0,0,0,0.2876438219109555,,,,
19-22-191364,0,0,0,0.2876438219109555,,,,
19-22-202017,0,0,0,0.2876438219109555,,,,
19-22-213449,0,0,0,0.2876438219109555,,,,
19-22-225355,0,0,0,0.2876438219109555,,,,
19-22-236335,0,0,0,0.2876438219109555,,,,
19-22-248675,0,0,0,0.2876438219109555,,,,
19-22-259617,0,0,0,0.2876438219109555,,,,
19-22-272459,0,0,0,0.2876438219109555,,,,
19-22-286237,0,0,0,0.2876438219109555,,,,
19-22-297654,0,0,0,0.2876438219109555,,,,
19-22-309872,0,0,0,0.2876438219109555,,,,
19-22-320617,0,0,0,0.2876438219109555,,,,
19-22-331705,0,0,0,0.2876438219109555,,,,
19-22-344596,0,0,0,0.2876438219109555,,,,
19-22-357311,0,0,0,0.3001500750375188,,,,
19-22-369292,0,0,0,0.3001500750375188,,,,
19-22-380510,0,0,0,0.3001500750375188,,,,
19-22-391545,0,0,0,0.3001500750375188,,,,
19-22-401413,0,0,0,0.3001500750375188,,,,
19-22-412206,0,0,0,0.3001500750375188,,,,
19-22-423472,0,0,0,0.3001500750375188,,,,
19-22-434804,0,0,0,0.3001500750375188,,,,
19-22-445747,0,0,0,0.3001500750375188,,,,
19-22-456721,0,0,0,0.3001500750375188,,,,
19-22-468232,0,0,0,0.2751375687843922,,,,
19-22-479975,0,0,0,0.2751375687843922,,,,
19-22-491849,0,0,0,0.2751375687843922,,,,
19-22-502669,0,0,0,0.2751375687843922,,,,
19-22-513976,0,0,0,0.3001500750375188,,,,
19-22-525586,0,0,0,0.3001500750375188,,,,
19-22-537669,0,0,0,0.3001500750375188,,,,
19-22-548481,0,0,0,0.3001500750375188,,,,
19-22-560192,0,0,0,0.3001500750375188,,,,
19-22-574340,0,0,0,0.2751375687843922,,,,
19-22-585130,0,0,0,0.2751375687843922,,,,
19-22-595457,0,0,0,0.2751375687843922,,,,
19-22-606021,0,0,0,0.2751375687843922,,,,
19-22-617131,0,0,0,0.2751375687843922,,,,
19-22-628138,0,0,0,0.3001500750375188,,,,
19-22-638630,0,0,0,0.3001500750375188,,,,
19-22-652388,0,0,0,0.3001500750375188,,,,
19-22-662550,0,0,0,0.3001500750375188,,,,
19-22-672350,0,0,0,0.2751375687843922,,,,
19-22-682143,0,0,0,0.2751375687843922,,,,
19-22-693349,0,0,0,0.2751375687843922,,,,
19-22-703562,0,0,0,0.2751375687843922,,,,
19-22-715803,0,0,0,0.3001500750375188,,,,
19-22-727457,0,0,0,0.3001500750375188,,,,
19-22-738133,0,0,0,0.3001500750375188,,,,
19-22-748504,0,0,0,0.3001500750375188,,,,
19-22-758428,0,0,0,0.3001500750375188,,,,
19-22-770964,0,0,0,0.2876438219109555,,,,
19-22-782533,0,0,0,0.2876438219109555,,,,
19-22-794082,0,0,0,0.2876438219109555,,,,
19-22-805328,0,0,0,0.2876438219109555,,,,
19-22-814809,0,0,0,0.2876438219109555,,,,
19-22-825559,0,0,0,0.2876438219109555,,,,
19-22-837728,0,0,0,0.2876438219109555,,,,
19-22-847620,0,0,0,0.2876438219109555,,,,
19-22-858667,0,0,0,0.2876438219109555,,,,
19-22-869618,0,0,0,0.2876438219109555,,,,
19-22-881462,0,0,0,0.2876438219109555,,,,
19-22-893268,0,0,0,0.2876438219109555,,,,
19-22-903366,0,0,0,0.2876438219109555,,,,
19-22-914042,0,0,0,0.2876438219109555,,,,
19-22-924466,0,0,0,0.2876438219109555,,,,
19-22-934367,0,0,0,0.2876438219109555,,,,
19-22-945988,0,0,0,0.2876438219109555,,,,
19-22-957257,0,0,0,0.2876438219109555,,,,
19-22-969750,0,0,0,0.2876438219109555,,,,
19-22-979859,0,0,0,0.3001500750375188,,,,
19-22-990491,0,0,0,0.3001500750375188,,,,
19-23-000883,0,0,0,0.3001500750375188,,,,
19-23-012543,0,0,0,0.3001500750375188,,,,
19-23-024600,0,0,0,0.3001500750375188,,,,
19-23-035702,0,0,0,0.3001500750375188,,,,
19-23-048178,0,0,0,0.3001500750375188,,,,
19-23-059420,0,0,0,0.3001500750375188,,,,
19-23-069390,0,0,0,0.3001500750375188,,,,
19-23-081152,0,0,0,0.2751375687843922,,,,
19-23-091491,0,0,0,0.2751375687843922,,,,
19-23-102438,0,0,0,0.2751375687843922,,,,
19-23-112638,0,0,0,0.2751375687843922,,,,
19-23-124111,0,0,0,0.3001500750375188,,,,
19-23-134384,0,0,0,0.3001500750375188,,,,
19-23-144560,0,0,0,0.3001500750375188,,,,
19-23-155045,0,0,0,0.3001500750375188,,,,
19-23-165707,0,0,0,0.3001500750375188,,,,
19-23-176411,0,0,0,0.3001500750375188,,,,
19-23-188857,0,0,0,0.2876438219109555,,,,
19-23-199640,0,0,0,0.2876438219109555,,,,
19-23-209649,0,0,0,0.2876438219109555,,,,
19-23-220291,0,0,0,0.2876438219109555,,,,
19-23-230403,0,0,0,0.31265632816408206,,,,
19-23-239925,0,0,0,0.31265632816408206,,,,
19-23-251545,0,0,0,0.31265632816408206,,,,
19-23-267751,0,0,0,0.31265632816408206,,,,
19-23-279332,0,0,0,0.2751375687843922,,,,
19-23-290704,0,0,0,0.2751375687843922,,,,
19-23-300754,0,0,0,0.2751375687843922,,,,
19-23-311241,0,0,0,0.2751375687843922,,,,
19-23-322209,0,0,0,0.3001500750375188,,,,
19-23-333114,0,0,0,0.3001500750375188,,,,
19-23-345193,0,0,0,0.3001500750375188,,,,
19-23-355742,0,0,0,0.3001500750375188,,,,
19-23-366136,0,0,0,0.3001500750375188,,,,
19-23-377238,0,0,0,0.3001500750375188,,,,
19-23-390122,0,0,0,0.2751375687843922,,,,
19-23-401867,0,0,0,0.2751375687843922,,,,
19-23-412896,0,0,0,0.2751375687843922,,,,
19-23-426832,0,0,0,0.2751375687843922,,,,
19-23-439265,0,0,0,0.2876438219109555,,,,
19-23-451379,0,0,0,0.2876438219109555,,,,
19-23-462488,0,0,0,0.2876438219109555,,,,
19-23-472413,0,0,0,0.2876438219109555,,,,
19-23-482387,0,0,0,0.2876438219109555,,,,
19-23-493395,0,0,0,0.2751375687843922,,,,
19-23-507144,0,0,0,0.2751375687843922,,,,
19-23-517633,0,0,0,0.2751375687843922,,,,
19-23-528909,0,0,0,0.2751375687843922,,,,
19-23-538874,0,0,0,0.2876438219109555,,,,
19-23-551409,0,0,0,0.2876438219109555,,,,
19-23-562145,0,0,0,0.2876438219109555,,,,
19-23-573834,0,0,0,0.2876438219109555,,,,
19-23-585612,0,0,0,0.2876438219109555,,,,
19-23-597540,0,0,0,0.2876438219109555,,,,
19-23-609589,0,0,0,0.3001500750375188,,,,
19-23-620554,0,0,0,0.3001500750375188,,,,
19-23-630686,0,0,0,0.3001500750375188,,,,
19-23-642283,0,0,0,0.3001500750375188,,,,
19-23-654947,0,0,0,0.3001500750375188,,,,
19-23-666689,0,0,0,0.3001500750375188,,,,
19-23-676969,0,0,0,0.3001500750375188,,,,
19-23-687945,0,0,0,0.3001500750375188,,,,
19-23-698346,0,0,0,0.3001500750375188,,,,
19-23-708506,0,0,0,0.3001500750375188,,,,
19-23-720673,0,0,0,0.3001500750375188,,,,
19-23-730186,0,0,0,0.3001500750375188,,,,
19-23-740105,0,0,0,0.3001500750375188,,,,
19-23-750566,0,0,0,0.3001500750375188,,,,
19-23-760625,0,0,0,0.3001500750375188,,,,
19-23-771410,0,0,0,0.3001500750375188,,,,
19-23-783273,0,0,0,0.3001500750375188,,,,
19-23-796345,0,0,0,0.2876438219109555,,,,
19-23-806372,0,0,0,0.2876438219109555,,,,
19-23-817101,0,0,0,0.2876438219109555,,,,
19-23-828087,0,0,0,0.2876438219109555,,,,
19-23-838462,0,0,0,0.2876438219109555,,,,
19-23-848184,0,0,0,0.2876438219109555,,,,
19-23-858674,0,0,0,0.2751375687843922,,,,
19-23-870672,0,0,0,0.2751375687843922,,,,
19-23-882089,0,0,0,0.2751375687843922,,,,
19-23-893966,0,0,0,0.2876438219109555,,,,
19-23-907201,0,0,0,0.2876438219109555,,,,
19-23-917964,0,0,0,0.2876438219109555,,,,
19-23-930586,0,0,0,0.2876438219109555,,,,
19-23-942388,0,0,0,0.2876438219109555,,,,
19-23-953595,0,0,0,0.3001500750375188,,,,
19-23-965061,0,0,0,0.3001500750375188,,,,
19-23-975483,0,0,0,0.3001500750375188,,,,
19-23-987809,0,0,0,0.3001500750375188,,,,
19-23-998536,0,0,0,0.3001500750375188,,,,
19-24-009772,0,0,0,0.3001500750375188,,,,
19-24-020170,0,0,0,0.3001500750375188,,,,
19-24-031524,0,0,0,0.3001500750375188,,,,
19-24-042181,0,0,0,0.3001500750375188,,,,
19-24-053851,0,0,0,0.2751375687843922,,,,
19-24-066354,0,0,0,0.2751375687843922,,,,
19-24-076817,0,0,0,0.2751375687843922,,,,
19-24-088877,0,0,0,0.3001500750375188,,,,
19-24-101051,0,0,0,0.3001500750375188,,,,
19-24-112531,0,0,0,0.3001500750375188,,,,
19-24-123389,0,0,0,0.3001500750375188,,,,
19-24-133554,0,0,0,0.3001500750375188,,,,
19-24-143468,0,0,0,0.3001500750375188,,,,
19-24-153387,0,0,0,0.3001500750375188,,,,
19-24-163496,0,0,0,0.2751375687843922,,,,
19-24-174292,0,0,0,0.2751375687843922,,,,
19-24-185169,0,0,0,0.2751375687843922,,,,
19-24-196285,0,0,0,0.2751375687843922,,,,
19-24-208333,0,0,0,0.3001500750375188,,,,
19-24-226594,3500,328,1.6188335418701172,0.3001500750375188,8.380031599376418,14.454326266043084,2515.2671133696103,4338.26711336961
19-24-238469,3500,328,1.6188335418701172,0.3001500750375188,,,,
19-24-252806,3500,328,1.6188335418701172,0.2751375687843922,9.141852653865183,15.768355926592454,2515.2671133696103,4338.26711336961
19-24-270589,3500,328,1.6188335418701172,0.2751375687843922,9.141852653865183,15.768355926592454,2515.2671133696103,4338.26711336961
19-24-286735,3500,350,1.614571452140808,0.2751375687843922,8.849612913334749,15.484965334018819,2434.860981657885,4260.295714712532
19-24-299565,3500,350,1.614571452140808,0.3001500750375188,8.112145170556854,14.194551556183917,2434.860981657885,4260.295714712532
19-24-310189,3500,350,1.614571452140808,0.3001500750375188,8.112145170556854,14.194551556183917,2434.860981657885,4260.295714712532
19-24-324605,3500,350,1.614571452140808,0.3001500750375188,8.112145170556854,14.194551556183917,2434.860981657885,4260.295714712532
19-24-338872,3500,350,1.614571452140808,0.3001500750375188,8.112145170556854,14.194551556183917,2434.860981657885,4260.295714712532
19-24-351971,3500,350,1.614571452140808,0.3001500750375188,8.112145170556854,14.194551556183917,2434.860981657885,4260.295714712532
19-24-363611,3500,372,1.615484356880188,0.2751375687843922,8.76974772313047,15.405332232844017,2412.8870673945767,4238.385656860535
19-24-379495,3500,372,1.615484356880188,0.2751375687843922,8.76974772313047,15.405332232844017,2412.8870673945767,4238.385656860535
19-24-393087,3500,372,1.615484356880188,0.2751375687843922,8.76974772313047,15.405332232844017,2412.8870673945767,4238.385656860535
19-24-405695,3500,372,1.615484356880188,0.2751375687843922,8.76974772313047,15.405332232844017,2412.8870673945767,4238.385656860535
19-24-418238,3500,372,1.615484356880188,0.3001500750375188,8.038935412869597,14.121554546773682,2412.8870673945767,4238.385656860535
19-24-432174,3501,401,1.615981101989746,0.3001500750375188,7.942599699531982,14.025658803217983,2383.9718958074986,4209.602542236514
19-24-445021,3501,401,1.615981101989746,0.3001500750375188,7.942599699531982,14.025658803217983,2383.9718958074986,4209.602542236514
19-24-456959,3501,401,1.615981101989746,0.3001500750375188,7.942599699531982,14.025658803217983,2383.9718958074986,4209.602542236514
19-24-469422,3501,401,1.615981101989746,0.3001500750375188,7.942599699531982,14.025658803217983,2383.9718958074986,4209.602542236514
19-24-482765,3501,401,1.615981101989746,0.3001500750375188,7.942599699531982,14.025658803217983,2383.9718958074986,4209.602542236514
19-24-496823,3500,425,1.61953604221344,0.3001500750375188,7.8625731011215745,13.94574159767605,2359.9519062896175,4185.615386996315
19-24-510043,3500,425,1.61953604221344,0.2876438219109555,8.204424105518164,14.552078188879358,2359.9519062896175,4185.615386996315
19-24-523306,3500,425,1.61953604221344,0.2876438219109555,8.204424105518164,14.552078188879358,2359.9519062896175,4185.615386996315
19-24-536667,3500,425,1.61953604221344,0.2876438219109555,8.204424105518164,14.552078188879358,2359.9519062896175,4185.615386996315
19-24-549935,3500,425,1.61953604221344,0.2876438219109555,8.204424105518164,14.552078188879358,2359.9519062896175,4185.615386996315
19-24-561660,3500,425,1.61953604221344,0.2876438219109555,8.204424105518164,14.552078188879358,2359.9519062896175,4185.615386996315
19-24-573202,3501,447,1.6192981004714966,0.3001500750375188,7.789537841515732,13.873105520878946,2338.030367638539,4163.813663095232
19-24-584714,3501,447,1.6192981004714966,0.3001500750375188,7.789537841515732,13.873105520878946,2338.030367638539,4163.813663095232
19-24-600174,3501,447,1.6192981004714966,0.3001500750375188,7.789537841515732,13.873105520878946,2338.030367638539,4163.813663095232
19-24-616087,3501,447,1.6192981004714966,0.3001500750375188,7.789537841515732,13.873105520878946,2338.030367638539,4163.813663095232
19-24-629831,3501,447,1.6192981004714966,0.3001500750375188,7.789537841515732,13.873105520878946,2338.030367638539,4163.813663095232
