time,x,y,theta,speed,mti,mte,dti,dte
54-06-011038,991,9492,-1.4841002225875854,0.0,,,,
54-06-022812,991,9492,-1.4841002225875854,0.0,,,,
54-06-035131,991,9492,-1.4841002225875854,0.0,,,,
54-06-047391,991,9492,-1.4841002225875854,0.0,,,,
54-06-057415,991,9492,-1.4841002225875854,0.0,,,,
54-06-069977,990,9495,-1.4826723337173462,0.0,,,,
54-06-079067,990,9495,-1.4826723337173462,0.0,,,,
54-06-089575,990,9495,-1.4826723337173462,0.0,,,,
54-06-100903,990,9495,-1.4826723337173462,0.0,,,,
54-06-112720,990,9495,-1.4826723337173462,0.0,,,,
54-06-123405,990,9495,-1.4826723337173462,0.0,,,,
54-06-135413,990,9495,-1.4826723337173462,0.0,,,,
54-06-146210,990,9495,-1.4826723337173462,0.0,,,,
54-06-157216,990,9495,-1.4826723337173462,0.0,,,,
54-06-167959,990,9495,-1.4826723337173462,0.0,,,,
54-06-178268,995,9504,-1.4836567640304565,0.0,,,,
54-06-188850,995,9504,-1.4836567640304565,0.0,,,,
54-06-199527,995,9504,-1.4836567640304565,0.0,,,,
54-06-210690,995,9504,-1.4836567640304565,0.0,,,,
54-06-221406,995,9504,-1.4836567640304565,0.0,,,,
54-06-232443,995,9504,-1.4836567640304565,0.0,,,,
54-06-243805,995,9504,-1.4836567640304565,0.0,,,,
54-06-256383,995,9504,-1.4836567640304565,0.0,,,,
54-06-268046,995,9504,-1.4836567640304565,0.0,,,,
54-06-280216,998,9500,-1.4856332540512085,0.0,,,,
54-06-291781,998,9500,-1.4856332540512085,0.0,,,,
54-06-305107,998,9500,-1.4856332540512085,0.0,,,,
54-06-316266,998,9500,-1.4856332540512085,0.08754377188594298,,,,
54-06-328118,998,9500,-1.4856332540512085,0.08754377188594298,,,,
54-06-341167,998,9500,-1.4856332540512085,0.08754377188594298,,,,
54-06-352198,998,9500,-1.4856332540512085,0.08754377188594298,,,,
54-06-364096,998,9500,-1.4856332540512085,0.08754377188594298,,,,
54-06-377480,995,9491,-1.4844390153884888,0.08754377188594298,,,,
54-06-387820,995,9491,-1.4844390153884888,0.31265632816408206,,,,
54-06-397944,995,9491,-1.4844390153884888,0.31265632816408206,,,,
54-06-408906,995,9491,-1.4844390153884888,0.31265632816408206,,,,
54-06-421092,995,9491,-1.4844390153884888,0.31265632816408206,,,,
54-06-433246,995,9491,-1.4844390153884888,0.31265632816408206,,,,
54-06-445494,995,9491,-1.4844390153884888,0.400200100050025,,,,
54-06-455657,995,9491,-1.4844390153884888,0.400200100050025,,,,
54-06-467023,995,9491,-1.4844390153884888,0.400200100050025,,,,
54-06-480291,993,9492,-1.4849607944488525,0.4627313656828414,,,,
54-06-491476,993,9492,-1.4849607944488525,0.4627313656828414,,,,
54-06-502217,993,9492,-1.4849607944488525,0.4627313656828414,,,,
54-06-513101,993,9492,-1.4849607944488525,0.4627313656828414,,,,
54-06-523959,993,9492,-1.4849607944488525,0.5252626313156579,,,,
54-06-535057,993,9492,-1.4849607944488525,0.5252626313156579,,,,
54-06-546046,993,9492,-1.4849607944488525,0.5252626313156579,,,,
54-06-558512,993,9492,-1.4849607944488525,0.5252626313156579,,,,
54-06-570341,993,9492,-1.4849607944488525,0.5252626313156579,,,,
54-06-580621,993,9492,-1.4849607944488525,0.5252626313156579,,,,
54-06-591611,993,9469,-1.497847318649292,0.5377688844422212,,,,
54-06-602121,993,9469,-1.497847318649292,0.5377688844422212,,,,
54-06-612910,993,9469,-1.497847318649292,0.5377688844422212,,,,
