time,x,y,theta,speed,mti,mte,dti,dte
13-50-346233,998,9516,-1.4912033081054688,0.0,,,,
13-50-358497,998,9516,-1.4912033081054688,0.0,,,,
13-50-372107,998,9516,-1.4912033081054688,0.0,,,,
13-50-382858,998,9516,-1.4912033081054688,0.0,,,,
13-50-393735,998,9516,-1.4913904666900635,0.0,,,,
13-50-405654,998,9516,-1.4913904666900635,0.0,,,,
13-50-417281,998,9516,-1.4913904666900635,0.0,,,,
13-50-429278,998,9516,-1.4913904666900635,0.0,,,,
13-50-440662,998,9516,-1.4913904666900635,0.0,,,,
13-50-452692,998,9516,-1.4913904666900635,0.0,,,,
13-50-465545,998,9516,-1.4913904666900635,0.0,,,,
13-50-476742,998,9516,-1.4906176328659058,0.0,,,,
13-50-487628,998,9516,-1.4906176328659058,0.0,,,,
13-50-497638,998,9516,-1.4906176328659058,0.0,,,,
13-50-509039,998,9516,-1.4906176328659058,0.0,,,,
13-50-519406,998,9516,-1.4906176328659058,0.0,,,,
13-50-529131,998,9516,-1.4906176328659058,0.0,,,,
13-50-540123,998,9516,-1.4906176328659058,0.0,,,,
13-50-550466,998,9516,-1.4906176328659058,0.0,,,,
13-50-560994,998,9516,-1.4906176328659058,0.0,,,,
13-50-573589,998,9516,-1.4906522035598755,0.0,,,,
13-50-584068,998,9516,-1.4906522035598755,0.03751875937968984,,,,
13-50-594982,998,9516,-1.4906522035598755,0.03751875937968984,,,,
13-50-606904,998,9516,-1.4906522035598755,0.03751875937968984,,,,
13-50-618015,998,9516,-1.4906522035598755,0.03751875937968984,,,,
13-50-628372,998,9516,-1.4906522035598755,0.03751875937968984,,,,
13-50-639615,998,9516,-1.4906522035598755,0.2251125562781391,,,,
13-50-650498,998,9516,-1.4906522035598755,0.2251125562781391,,,,
13-50-660262,998,9516,-1.4915461540222168,0.2251125562781391,,,,
13-50-670739,998,9516,-1.4915461540222168,0.2251125562781391,,,,
13-50-681224,998,9516,-1.4915461540222168,0.3501750875437719,,,,
13-50-692622,998,9516,-1.4915461540222168,0.3501750875437719,,,,
13-50-704080,998,9516,-1.4915461540222168,0.3501750875437719,,,,
13-50-715670,998,9516,-1.4915461540222168,0.3501750875437719,,,,
13-50-726089,998,9516,-1.4915461540222168,0.3501750875437719,,,,
13-50-737346,998,9516,-1.4915461540222168,0.4627313656828414,,,,
13-50-750774,998,9517,-1.4933662414550781,0.4627313656828414,,,,
13-50-761851,998,9517,-1.4933662414550781,0.4627313656828414,,,,
13-50-772974,998,9517,-1.4933662414550781,0.4627313656828414,,,,
13-50-785103,998,9517,-1.4933662414550781,0.4627313656828414,,,,
13-50-796878,998,9517,-1.4933662414550781,0.5002501250625313,,,,
13-50-807472,998,9517,-1.4933662414550781,0.5002501250625313,,,,
13-50-819178,998,9517,-1.4933662414550781,0.5002501250625313,,,,
13-50-830519,997,9492,-1.5013415813446045,0.5252626313156579,,,,
13-50-841552,997,9492,-1.5013415813446045,0.5252626313156579,,,,
13-50-852352,997,9492,-1.5013415813446045,0.5252626313156579,,,,
13-50-862993,997,9492,-1.5013415813446045,0.5252626313156579,,,,
13-50-876607,997,9492,-1.5013415813446045,0.5252626313156579,,,,
13-50-889198,997,9492,-1.5013415813446045,0.5252626313156579,,,,
13-50-902997,997,9492,-1.5013415813446045,0.5252626313156579,,,,
13-50-914253,997,9492,-1.5013415813446045,0.5252626313156579,,,,
13-50-924851,999,9441,-1.5055543184280396,0.5252626313156579,,,,
13-50-934544,999,9441,-1.5055543184280396,0.5252626313156579,,,,
13-50-944340,999,9441,-1.5055543184280396,0.5252626313156579,,,,
13-50-957173,999,9441,-1.5055543184280396,0.5127563781890946,,,,
13-50-969912,999,9441,-1.5055543184280396,0.5127563781890946,,,,
13-50-984258,999,9441,-1.5055543184280396,0.5127563781890946,,,,
13-50-994676,999,9441,-1.5055543184280396,0.487743871935968,,,,
13-51-005028,999,9441,-1.5055543184280396,0.487743871935968,,,,
13-51-015602,1000,9369,-1.513228416442871,0.487743871935968,,,,
13-51-026033,1000,9369,-1.513228416442871,0.5002501250625313,,,,
13-51-036452,1000,9369,-1.513228416442871,0.5002501250625313,,,,
13-51-047032,1000,9369,-1.513228416442871,0.5002501250625313,,,,
13-51-058154,1000,9369,-1.513228416442871,0.5002501250625313,,,,
13-51-068325,1000,9369,-1.513228416442871,0.5002501250625313,,,,
13-51-079931,1000,9369,-1.513228416442871,0.5002501250625313,,,,
13-51-091405,1000,9369,-1.513228416442871,0.5002501250625313,,,,
13-51-102148,1000,9369,-1.513228416442871,0.5002501250625313,,,,
13-51-115921,1001,9311,-1.5217671394348145,0.5002501250625313,,,,
13-51-125452,1001,9311,-1.5217671394348145,0.5002501250625313,,,,
13-51-135730,1001,9311,-1.5217671394348145,0.5002501250625313,,,,
13-51-146404,1001,9311,-1.5217671394348145,0.487743871935968,,,,
13-51-157565,1001,9311,-1.5217671394348145,0.487743871935968,,,,
13-51-170077,1001,9311,-1.5217671394348145,0.487743871935968,,,,
13-51-180422,1001,9311,-1.5217671394348145,0.487743871935968,,,,
13-51-190792,1001,9311,-1.5217671394348145,0.487743871935968,,,,
13-51-202537,1003,9255,-1.5286105871200562,0.487743871935968,,,,
13-51-215384,1003,9255,-1.5286105871200562,0.487743871935968,,,,
13-51-226289,1003,9255,-1.5286105871200562,0.487743871935968,,,,
13-51-238888,1003,9255,-1.5286105871200562,0.5002501250625313,,,,
13-51-250792,1003,9255,-1.5286105871200562,0.5002501250625313,,,,
13-51-262111,1003,9255,-1.5286105871200562,0.5002501250625313,,,,
13-51-273877,1003,9255,-1.5286105871200562,0.5002501250625313,,,,
13-51-286705,1002,9187,-1.5365371704101562,0.5002501250625313,,,,
13-51-298849,1002,9187,-1.5365371704101562,0.5002501250625313,,,,
13-51-311989,1002,9187,-1.5365371704101562,0.5002501250625313,,,,
13-51-325294,1002,9187,-1.5365371704101562,0.5002501250625313,,,,
13-51-336732,1002,9187,-1.5365371704101562,0.5002501250625313,,,,
13-51-348374,1002,9187,-1.5365371704101562,0.5002501250625313,,,,
13-51-360370,1002,9187,-1.5365371704101562,0.5002501250625313,,,,
13-51-372160,1002,9121,-1.5475338697433472,0.5002501250625313,,,,
13-51-382789,1002,9121,-1.5475338697433472,0.5002501250625313,,,,
13-51-393535,1002,9121,-1.5475338697433472,0.47523761880940474,,,,
13-51-404721,1002,9121,-1.5475338697433472,0.47523761880940474,,,,
13-51-415561,1002,9121,-1.5475338697433472,0.47523761880940474,,,,
13-51-427041,1002,9121,-1.5475338697433472,0.47523761880940474,,,,
13-51-438279,1002,9121,-1.5475338697433472,0.47523761880940474,,,,
13-51-449069,1002,9121,-1.5475338697433472,0.5127563781890946,,,,
13-51-460861,1001,9068,-1.5561026334762573,0.5127563781890946,,,,
13-51-474141,1001,9068,-1.5561026334762573,0.5127563781890946,,,,
13-51-485386,1001,9068,-1.5561026334762573,0.5127563781890946,,,,
13-51-495580,1001,9068,-1.5561026334762573,0.5127563781890946,,,,
13-51-511233,1001,9068,-1.5561026334762573,0.487743871935968,,,,
13-51-522361,1001,9068,-1.5561026334762573,0.487743871935968,,,,
13-51-533018,1001,9068,-1.5561026334762573,0.487743871935968,,,,
13-51-544729,998,9013,-1.5679032802581787,0.487743871935968,,,,
13-51-555692,998,9013,-1.5679032802581787,0.487743871935968,,,,
13-51-568347,998,9013,-1.5679032802581787,0.487743871935968,,,,
13-51-579504,998,9013,-1.5679032802581787,0.487743871935968,,,,
13-51-589419,998,9013,-1.5679032802581787,0.5127563781890946,,,,
13-51-599963,998,9013,-1.5679032802581787,0.5127563781890946,,,,
13-51-612521,998,9013,-1.5679032802581787,0.5127563781890946,,,,
13-51-623980,998,9013,-1.5679032802581787,0.5127563781890946,,,,
13-51-639261,996,8960,-1.578633427619934,0.5127563781890946,7.276689569661652,8.19759474039336,3731.1689889460704,4203.16898894607
13-51-650611,996,8960,-1.578633427619934,0.487743871935968,,,,
13-51-663607,996,8960,-1.578633427619934,0.487743871935968,7.649853137336609,8.617984214259685,3731.1689889460704,4203.16898894607
13-51-675542,996,8960,-1.578633427619934,0.487743871935968,7.649853137336609,8.617984214259685,3731.1689889460704,4203.16898894607
13-51-685860,996,8960,-1.578633427619934,0.487743871935968,7.649853137336609,8.617984214259685,3731.1689889460704,4203.16898894607
13-51-697807,996,8960,-1.578633427619934,0.487743871935968,7.649853137336609,8.617984214259685,3731.1689889460704,4203.16898894607
13-51-709381,996,8960,-1.578633427619934,0.487743871935968,7.649853137336609,8.617984214259685,3731.1689889460704,4203.16898894607
13-51-720738,989,8908,-1.5790247917175293,0.47523761880940474,7.740837826483576,8.73444603700989,3678.737336247823,4150.737336247823
13-51-731476,989,8908,-1.5790247917175293,0.47523761880940474,7.740837826483576,8.73444603700989,3678.737336247823,4150.737336247823
13-51-742342,989,8908,-1.5790247917175293,0.47523761880940474,7.740837826483576,8.73444603700989,3678.737336247823,4150.737336247823
13-51-755421,989,8908,-1.5790247917175293,0.5002501250625313,7.353795935159397,8.297723735159396,3678.737336247823,4150.737336247823
13-51-765279,989,8908,-1.5790247917175293,0.5002501250625313,7.353795935159397,8.297723735159396,3678.737336247823,4150.737336247823
13-51-776065,989,8908,-1.5790247917175293,0.5002501250625313,7.353795935159397,8.297723735159396,3678.737336247823,4150.737336247823
13-51-787357,989,8908,-1.5790247917175293,0.5002501250625313,7.353795935159397,8.297723735159396,3678.737336247823,4150.737336247823
13-51-797607,989,8908,-1.5790247917175293,0.5002501250625313,7.353795935159397,8.297723735159396,3678.737336247823,4150.737336247823
