time,x,y,theta,speed,mti,mte,dti,dte
17-57-412480,3847,7463,-1.6201598644256592,0.0,,,,
17-57-423861,3847,7463,-1.619875192642212,0.0,,,,
17-57-434680,3847,7463,-1.619875192642212,0.0,,,,
17-57-443685,3847,7463,-1.619875192642212,0.0,,,,
17-57-452876,3847,7463,-1.619875192642212,0.0,,,,
17-57-463728,3847,7463,-1.619875192642212,0.0,,,,
17-57-473507,3847,7463,-1.619875192642212,0.0,,,,
17-57-486145,3847,7463,-1.619875192642212,0.0,,,,
17-57-496721,3847,7463,-1.619875192642212,0.0,,,,
17-57-505603,3847,7463,-1.619238257408142,0.0,,,,
17-57-514230,3847,7463,-1.619238257408142,0.0,,,,
17-57-524781,3847,7463,-1.619238257408142,0.0,,,,
17-57-534935,3847,7463,-1.619238257408142,0.0,,,,
17-57-544040,3847,7463,-1.619238257408142,0.0,,,,
17-57-554792,3847,7463,-1.619238257408142,0.0,,,,
17-57-563738,3847,7463,-1.619238257408142,0.0,,,,
17-57-575308,3847,7463,-1.619238257408142,0.0,,,,
17-57-587338,3847,7464,-1.619012713432312,0.0,,,,
17-57-598367,3847,7464,-1.619012713432312,0.0,,,,
17-57-608566,3847,7464,-1.619012713432312,0.0,,,,
17-57-618343,3847,7464,-1.619012713432312,0.0,,,,
17-57-627859,3847,7464,-1.619012713432312,0.0,,,,
17-57-638508,3847,7464,-1.619012713432312,0.0,,,,
17-57-650350,3847,7464,-1.619012713432312,0.0,,,,
17-57-660099,3847,7464,-1.619012713432312,0.0,,,,
17-57-671665,3847,7463,-1.6197632551193237,0.0,,,,
17-57-681901,3847,7463,-1.6197632551193237,0.08754377188594298,,,,
17-57-690801,3847,7463,-1.6197632551193237,0.08754377188594298,,,,
17-57-700359,3847,7463,-1.6197632551193237,0.08754377188594298,,,,
17-57-709020,3847,7463,-1.6197632551193237,0.08754377188594298,,,,
17-57-716914,3847,7463,-1.6197632551193237,0.08754377188594298,,,,
17-57-726685,3847,7463,-1.6197632551193237,0.08754377188594298,,,,
17-57-736741,3847,7463,-1.6197632551193237,0.16258129064532267,,,,
17-57-746130,3847,7463,-1.6197632551193237,0.16258129064532267,,,,
