time,x,y,theta,speed,mti,mte,dti,dte
34-05-394384,3858,7474,-1.646108627319336,0.0,,,,
34-05-403917,3858,7474,-1.646108627319336,0.0,,,,
34-05-415151,3858,7474,-1.646108627319336,0.0,,,,
34-05-426505,3858,7474,-1.6474028825759888,0.0,,,,
34-05-436875,3858,7474,-1.6474028825759888,0.0,,,,
34-05-446945,3858,7474,-1.6474028825759888,0.0,,,,
34-05-457625,3858,7474,-1.6474028825759888,0.0,,,,
34-05-467761,3858,7474,-1.6474028825759888,0.0,,,,
34-05-479447,3858,7474,-1.6474028825759888,0.0,,,,
34-05-490446,3858,7474,-1.6474028825759888,0.0,,,,
34-05-500586,3858,7474,-1.646440863609314,0.0,,,,
34-05-511174,3858,7474,-1.646440863609314,0.0,,,,
34-05-522215,3858,7474,-1.646440863609314,0.0,,,,
34-05-532704,3858,7474,-1.646440863609314,0.0,,,,
34-05-542282,3858,7474,-1.646440863609314,0.0,,,,
34-05-551995,3858,7474,-1.646440863609314,0.0,,,,
34-05-562350,3858,7474,-1.646440863609314,0.0,,,,
34-05-572679,3858,7474,-1.6470649242401123,0.0,,,,
34-05-582636,3858,7474,-1.6470649242401123,0.0,,,,
34-05-594171,3858,7474,-1.6470649242401123,0.0,,,,
34-05-607311,3858,7474,-1.6470649242401123,0.05002501250625313,,,,
34-05-617595,3858,7474,-1.6470649242401123,0.05002501250625313,,,,
34-05-629327,3858,7474,-1.6470649242401123,0.05002501250625313,,,,
34-05-640792,3858,7474,-1.6463326215744019,0.05002501250625313,,,,
34-05-650976,3858,7474,-1.6463326215744019,0.05002501250625313,,,,
34-05-661396,3858,7474,-1.6463326215744019,0.05002501250625313,,,,
34-05-671382,3858,7474,-1.6463326215744019,0.1500750375187594,,,,
34-05-681668,3858,7474,-1.6463326215744019,0.1500750375187594,,,,
34-05-691575,3858,7474,-1.6463326215744019,0.1500750375187594,,,,
34-05-702329,3858,7474,-1.6463326215744019,0.21260630315157578,,,,
34-05-714132,3858,7474,-1.6463967561721802,0.21260630315157578,,,,
34-05-724368,3858,7474,-1.6463967561721802,0.21260630315157578,,,,
34-05-735818,3858,7474,-1.6463967561721802,0.21260630315157578,,,,
34-05-747160,3858,7474,-1.6463967561721802,0.21260630315157578,,,,
34-05-760525,3858,7474,-1.6463967561721802,0.31265632816408206,,,,
34-05-771046,3858,7474,-1.6463967561721802,0.31265632816408206,,,,
34-05-783765,3858,7474,-1.6463967561721802,0.31265632816408206,,,,
34-05-793751,3858,7468,-1.6387360095977783,0.31265632816408206,,,,
34-05-805834,3858,7468,-1.6387360095977783,0.31265632816408206,,,,
34-05-815642,3858,7468,-1.6387360095977783,0.2876438219109555,,,,
34-05-826466,3858,7468,-1.6387360095977783,0.2876438219109555,,,,
34-05-837843,3858,7468,-1.6387360095977783,0.2876438219109555,,,,
34-05-849515,3858,7468,-1.6387360095977783,0.2876438219109555,,,,
34-05-860571,3858,7468,-1.6387360095977783,0.2876438219109555,,,,
34-05-871552,3858,7468,-1.6387360095977783,0.2876438219109555,,,,
34-05-882865,3858,7468,-1.6387360095977783,0.32516258129064535,,,,
34-05-893619,3858,7468,-1.6387360095977783,0.32516258129064535,,,,
34-05-905662,3858,7468,-1.6387360095977783,0.32516258129064535,,,,
34-05-915616,3858,7468,-1.6387360095977783,0.31265632816408206,,,,
34-05-926337,3855,7415,-1.637724757194519,0.31265632816408206,,,,
34-05-937866,3855,7415,-1.637724757194519,0.31265632816408206,,,,
34-05-949400,3855,7415,-1.637724757194519,0.31265632816408206,,,,
34-05-961395,3855,7415,-1.637724757194519,0.31265632816408206,,,,
34-05-971532,3855,7415,-1.637724757194519,0.31265632816408206,,,,
34-05-981977,3855,7415,-1.637724757194519,0.3001500750375188,,,,
34-05-993034,3855,7415,-1.637724757194519,0.3001500750375188,,,,
34-06-003342,3854,7387,-1.6336532831192017,0.3001500750375188,,,,
34-06-013053,3854,7387,-1.6336532831192017,0.3001500750375188,,,,
34-06-024444,3854,7387,-1.6336532831192017,0.3001500750375188,,,,
34-06-034523,3854,7387,-1.6336532831192017,0.3001500750375188,,,,
34-06-045288,3854,7387,-1.6336532831192017,0.3001500750375188,,,,
34-06-055159,3854,7387,-1.6336532831192017,0.2876438219109555,,,,
