time,x,y,theta,speed,mti,mte,dti,dte
28-00-058885,4026,8620,-2.361914873123169,0.0,,,,
28-00-068881,4026,8620,-2.361914873123169,0.0,,,,
28-00-081226,4026,8620,-2.361914873123169,0.0,,,,
28-00-091374,4026,8620,-2.361914873123169,0.0,,,,
28-00-103388,4026,8620,-2.361914873123169,0.0,,,,
28-00-115520,4026,8620,-2.361914873123169,0.0,,,,
28-00-127041,4026,8620,-2.361914873123169,0.0,,,,
28-00-138406,4026,8620,-2.360740900039673,0.0,,,,
28-00-148872,4026,8620,-2.360740900039673,0.0,,,,
28-00-160869,4026,8620,-2.360740900039673,0.0,,,,
28-00-171020,4026,8620,-2.360740900039673,0.0,,,,
28-00-183066,4026,8620,-2.360740900039673,0.0,,,,
28-00-193501,4026,8620,-2.360740900039673,0.0,,,,
28-00-203487,4026,8620,-2.360740900039673,0.0,,,,
28-00-214399,4026,8620,-2.360740900039673,0.0,,,,
28-00-225120,4026,8620,-2.360740900039673,0.0,,,,
28-00-236447,4026,8620,-2.360774517059326,0.0,,,,
28-00-247114,4026,8620,-2.360774517059326,0.0,,,,
28-00-257371,4026,8620,-2.360774517059326,0.0,,,,
28-00-268358,4026,8620,-2.360774517059326,0.0,,,,
28-00-280019,4026,8620,-2.360774517059326,0.01250625312656328,,,,
28-00-291772,4026,8620,-2.360774517059326,0.01250625312656328,,,,
28-00-302639,4026,8620,-2.360774517059326,0.01250625312656328,,,,
28-00-314070,4026,8620,-2.360774517059326,0.01250625312656328,,,,
28-00-323981,4026,8620,-2.360774517059326,0.01250625312656328,,,,
28-00-335859,4026,8620,-2.360774517059326,0.20010005002501252,,,,
28-00-346651,4026,8620,-2.361576557159424,0.20010005002501252,,,,
28-00-357338,4026,8620,-2.361576557159424,0.20010005002501252,,,,
28-00-368842,4026,8620,-2.361576557159424,0.20010005002501252,,,,
28-00-380679,4026,8620,-2.361576557159424,0.20010005002501252,,,,
28-00-393546,4026,8620,-2.361576557159424,0.3751875937968985,,,,
28-00-405416,4026,8620,-2.361576557159424,0.3751875937968985,,,,
28-00-418825,4026,8620,-2.361576557159424,0.3751875937968985,,,,
28-00-432811,4026,8620,-2.361576557159424,0.3751875937968985,,,,
28-00-445686,4026,8620,-2.360793113708496,0.3751875937968985,,,,
28-00-457278,4026,8620,-2.360793113708496,0.4377188594297149,,,,
28-00-468799,4026,8620,-2.360793113708496,0.4377188594297149,,,,
28-00-481017,4026,8620,-2.360793113708496,0.4377188594297149,,,,
28-00-493454,4026,8620,-2.360793113708496,0.487743871935968,,,,
28-00-504293,4026,8620,-2.360793113708496,0.487743871935968,,,,
28-00-516142,4026,8620,-2.360793113708496,0.487743871935968,,,,
28-00-527501,4026,8620,-2.360793113708496,0.487743871935968,,,,
28-00-537678,4026,8620,-2.360793113708496,0.487743871935968,,,,
28-00-548445,4027,8621,-2.3624441623687744,0.5002501250625313,,,,
28-00-558720,4027,8621,-2.3624441623687744,0.5002501250625313,,,,
28-00-570210,4027,8621,-2.3624441623687744,0.5002501250625313,,,,
28-00-581805,4027,8621,-2.3624441623687744,0.5002501250625313,,,,
28-00-592971,4027,8621,-2.3624441623687744,0.5002501250625313,,,,
28-00-605532,4027,8621,-2.3624441623687744,0.5377688844422212,,,,
28-00-615804,4027,8621,-2.3624441623687744,0.5377688844422212,,,,
28-00-627720,4027,8621,-2.3624441623687744,0.5377688844422212,,,,
28-00-639226,4027,8621,-2.3624441623687744,0.5377688844422212,,,,
28-00-651381,4003,8602,-2.3878610134124756,0.5377688844422212,,,,
28-00-661641,4003,8602,-2.3878610134124756,0.5002501250625313,,,,
28-00-673420,4003,8602,-2.3878610134124756,0.5002501250625313,,,,
28-00-683652,4003,8602,-2.3878610134124756,0.5002501250625313,,,,
28-00-694408,4003,8602,-2.3878610134124756,0.487743871935968,,,,
28-00-705858,4003,8602,-2.3878610134124756,0.487743871935968,,,,
28-00-717363,4003,8602,-2.3878610134124756,0.487743871935968,,,,
28-00-729417,4003,8602,-2.3878610134124756,0.487743871935968,,,,
28-00-740086,4003,8602,-2.3878610134124756,0.487743871935968,,,,
28-00-753362,3917,8527,-2.445443868637085,0.487743871935968,,,,
28-00-764124,3917,8527,-2.445443868637085,0.487743871935968,,,,
28-00-774647,3917,8527,-2.445443868637085,0.487743871935968,,,,
28-00-784651,3917,8527,-2.445443868637085,0.487743871935968,,,,
28-00-795377,3917,8527,-2.445443868637085,0.487743871935968,,,,
28-00-806319,3917,8527,-2.445443868637085,0.47523761880940474,,,,
28-00-819971,3917,8527,-2.445443868637085,0.47523761880940474,,,,
28-00-832416,3917,8527,-2.445443868637085,0.47523761880940474,,,,
28-00-843029,3917,8527,-2.445443868637085,0.47523761880940474,,,,
28-00-855618,3885,8505,-2.4785103797912598,0.5002501250625313,,,,
28-00-867027,3885,8505,-2.4785103797912598,0.5002501250625313,,,,
28-00-878616,3885,8505,-2.4785103797912598,0.5002501250625313,,,,
28-00-890521,3885,8505,-2.4785103797912598,0.5002501250625313,,,,
28-00-900399,3885,8505,-2.4785103797912598,0.47523761880940474,,,,
28-00-910569,3885,8505,-2.4785103797912598,0.47523761880940474,,,,
28-00-921873,3885,8505,-2.4785103797912598,0.47523761880940474,,,,
28-00-935871,3885,8505,-2.4785103797912598,0.47523761880940474,,,,
28-00-946575,3885,8505,-2.4785103797912598,0.487743871935968,,,,
28-00-956294,3849,8477,-2.5085525512695312,0.487743871935968,,,,
28-00-966712,3849,8477,-2.5085525512695312,0.487743871935968,,,,
28-00-977669,3849,8477,-2.5085525512695312,0.487743871935968,,,,
28-00-987619,3849,8477,-2.5085525512695312,0.487743871935968,,,,
28-00-997862,3849,8477,-2.5085525512695312,0.487743871935968,,,,
28-01-008882,3849,8477,-2.5085525512695312,0.487743871935968,,,,
28-01-021941,3849,8477,-2.5085525512695312,0.487743871935968,,,,
28-01-032964,3849,8477,-2.5085525512695312,0.487743871935968,,,,
28-01-043972,3849,8477,-2.5085525512695312,0.5002501250625313,,,,
28-01-056552,3808,8453,-2.5558176040649414,0.5002501250625313,,,,
28-01-066736,3808,8453,-2.5558176040649414,0.5002501250625313,,,,
28-01-076722,3808,8453,-2.5558176040649414,0.5002501250625313,,,,
28-01-087869,3808,8453,-2.5558176040649414,0.5002501250625313,,,,
28-01-098652,3808,8453,-2.5558176040649414,0.5002501250625313,,,,
28-01-108345,3808,8453,-2.5558176040649414,0.5002501250625313,,,,
28-01-119907,3808,8453,-2.5558176040649414,0.5002501250625313,,,,
28-01-129921,3808,8453,-2.5558176040649414,0.5002501250625313,,,,
28-01-140546,3808,8453,-2.5558176040649414,0.5002501250625313,,,,
28-01-150075,3808,8453,-2.5558176040649414,0.4752376188094047,,,,
28-01-163499,3717,8402,-2.609870672225952,0.4752376188094047,,,,
28-01-173500,3717,8402,-2.609870672225952,0.4752376188094047,,,,
28-01-184001,3717,8402,-2.609870672225952,0.4752376188094047,,,,
28-01-195888,3717,8402,-2.609870672225952,0.4752376188094047,,,,
28-01-206877,3717,8402,-2.609870672225952,0.4752376188094047,,,,
28-01-219551,3717,8402,-2.609870672225952,0.5002501250625313,,,,
28-01-231205,3717,8402,-2.609870672225952,0.5002501250625313,,,,
28-01-242803,3717,8402,-2.609870672225952,0.5002501250625313,,,,
28-01-254253,3717,8402,-2.609870672225952,0.5002501250625313,,,,
28-01-264351,3717,8402,-2.609870672225952,0.5002501250625313,,,,
28-01-276250,3681,8383,-2.622868061065674,0.5002501250625313,,,,
28-01-286968,3681,8383,-2.622868061065674,0.5002501250625313,,,,
28-01-298621,3681,8383,-2.622868061065674,0.5002501250625313,,,,
28-01-310515,3681,8383,-2.622868061065674,0.5002501250625313,,,,
28-01-322203,3681,8383,-2.622868061065674,0.5002501250625313,,,,
28-01-334039,3681,8383,-2.622868061065674,0.5002501250625313,,,,
28-01-345624,3681,8383,-2.622868061065674,0.5002501250625313,,,,
28-01-356874,3681,8383,-2.622868061065674,0.487743871935968,,,,
28-01-367147,3648,8364,-2.6145825386047363,0.487743871935968,,,,
28-01-378095,3648,8364,-2.6145825386047363,0.487743871935968,,,,
28-01-388714,3648,8364,-2.6145825386047363,0.487743871935968,,,,
28-01-398900,3648,8364,-2.6145825386047363,0.487743871935968,,,,
28-01-408512,3648,8364,-2.6145825386047363,0.487743871935968,,,,
28-01-419374,3648,8364,-2.6145825386047363,0.487743871935968,,,,
28-01-430279,3648,8364,-2.6145825386047363,0.487743871935968,,,,
28-01-441460,3648,8364,-2.6145825386047363,0.487743871935968,,,,
28-01-451513,3648,8364,-2.6145825386047363,0.487743871935968,,,,
28-01-463929,3604,8343,-2.622422456741333,0.487743871935968,,,,
28-01-479115,3561,8323,-2.626281499862671,0.487743871935968,7.832997890913589,9.05456471125797,3820.4967201804648,4416.108450963743
28-01-490546,3561,8323,-2.626281499862671,0.487743871935968,,,,
28-01-505455,3561,8323,-2.626281499862671,0.487743871935968,7.832997890913589,9.05456471125797,3820.4967201804648,4416.108450963743
28-01-517827,3561,8323,-2.626281499862671,0.487743871935968,7.832997890913589,9.05456471125797,3820.4967201804648,4416.108450963743
28-01-530541,3561,8323,-2.626281499862671,0.5002501250625313,7.637172943640749,8.82820059347652,3820.4967201804648,4416.108450963743
28-01-541694,3561,8323,-2.626281499862671,0.5002501250625313,7.637172943640749,8.82820059347652,3820.4967201804648,4416.108450963743
28-01-554237,3561,8323,-2.626281499862671,0.5002501250625313,7.637172943640749,8.82820059347652,3820.4967201804648,4416.108450963743
28-01-566318,3561,8323,-2.626281499862671,0.487743871935968,7.832997890913589,9.05456471125797,3820.4967201804648,4416.108450963743
28-01-578290,3520,8296,-2.6146936416625977,0.487743871935968,7.738807801361091,8.95564700609478,3774.556081204134,4367.861946444428
28-01-590701,3520,8296,-2.6146936416625977,0.487743871935968,7.738807801361091,8.95564700609478,3774.556081204134,4367.861946444428
28-01-601883,3520,8296,-2.6146936416625977,0.487743871935968,7.738807801361091,8.95564700609478,3774.556081204134,4367.861946444428
28-01-613554,3520,8296,-2.6146936416625977,0.487743871935968,7.738807801361091,8.95564700609478,3774.556081204134,4367.861946444428
28-01-623072,3520,8296,-2.6146936416625977,0.487743871935968,7.738807801361091,8.95564700609478,3774.556081204134,4367.861946444428
28-01-634661,3520,8296,-2.6146936416625977,0.5127563781890946,7.361304981782501,8.518786176529181,3774.556081204134,4367.861946444428
28-01-645898,3520,8296,-2.6146936416625977,0.5127563781890946,7.361304981782501,8.518786176529181,3774.556081204134,4367.861946444428
28-01-658493,3520,8296,-2.6146936416625977,0.5127563781890946,7.361304981782501,8.518786176529181,3774.556081204134,4367.861946444428
28-01-671955,3470,8269,-2.598529577255249,0.5002501250625313,7.443205528202949,8.62253176118166,3723.46449634965,4313.222591886773
28-01-683320,3470,8269,-2.598529577255249,0.5002501250625313,7.443205528202949,8.62253176118166,3723.46449634965,4313.222591886773
28-01-695449,3470,8269,-2.598529577255249,0.5002501250625313,7.443205528202949,8.62253176118166,3723.46449634965,4313.222591886773
28-01-709287,3470,8269,-2.598529577255249,0.5002501250625313,7.443205528202949,8.62253176118166,3723.46449634965,4313.222591886773
28-01-722675,3470,8269,-2.598529577255249,0.5002501250625313,7.443205528202949,8.62253176118166,3723.46449634965,4313.222591886773
28-01-736397,3470,8269,-2.598529577255249,0.5002501250625313,7.443205528202949,8.62253176118166,3723.46449634965,4313.222591886773
28-01-748050,3470,8269,-2.598529577255249,0.5002501250625313,7.443205528202949,8.62253176118166,3723.46449634965,4313.222591886773
28-01-760042,3470,8269,-2.598529577255249,0.5002501250625313,7.443205528202949,8.62253176118166,3723.46449634965,4313.222591886773
28-01-773226,3470,8269,-2.598529577255249,0.47523761880940474,7.834953187582052,9.076349222296484,3723.46449634965,4313.222591886773
28-01-784154,3429,8244,-2.5893092155456543,0.47523761880940474,7.742141827660486,8.97799768514297,3679.357046662062,4266.482241563693
28-01-795055,3429,8244,-2.5893092155456543,0.47523761880940474,7.742141827660486,8.97799768514297,3679.357046662062,4266.482241563693
28-01-808445,3429,8244,-2.5893092155456543,0.5002501250625313,7.355034736277462,8.529097800885822,3679.357046662062,4266.482241563693
28-01-820372,3429,8244,-2.5893092155456543,0.5002501250625313,7.355034736277462,8.529097800885822,3679.357046662062,4266.482241563693
28-01-834275,3429,8244,-2.5893092155456543,0.5002501250625313,7.355034736277462,8.529097800885822,3679.357046662062,4266.482241563693
28-01-845215,3429,8244,-2.5893092155456543,0.5002501250625313,7.355034736277462,8.529097800885822,3679.357046662062,4266.482241563693
28-01-855746,3429,8244,-2.5893092155456543,0.5002501250625313,7.355034736277462,8.529097800885822,3679.357046662062,4266.482241563693
28-01-866589,3429,8244,-2.5893092155456543,0.5002501250625313,7.355034736277462,8.529097800885822,3679.357046662062,4266.482241563693
28-01-881135,3354,8199,-2.565167188644409,0.487743871935968,7.379967693831988,8.573851836292118,3599.53401775197,4181.643692038428
28-01-891868,3354,8199,-2.565167188644409,0.487743871935968,7.379967693831988,8.573851836292118,3599.53401775197,4181.643692038428
28-01-902860,3354,8199,-2.565167188644409,0.487743871935968,7.379967693831988,8.573851836292118,3599.53401775197,4181.643692038428
28-01-913729,3354,8199,-2.565167188644409,0.487743871935968,7.379967693831988,8.573851836292118,3599.53401775197,4181.643692038428
28-01-926756,3354,8199,-2.565167188644409,0.487743871935968,7.379967693831988,8.573851836292118,3599.53401775197,4181.643692038428
28-01-940004,3354,8199,-2.565167188644409,0.47523761880940474,7.5741773699854615,8.799479516194543,3599.53401775197,4181.643692038428
28-01-951308,3354,8199,-2.565167188644409,0.47523761880940474,7.5741773699854615,8.799479516194543,3599.53401775197,4181.643692038428
28-01-962829,3354,8199,-2.565167188644409,0.47523761880940474,7.5741773699854615,8.799479516194543,3599.53401775197,4181.643692038428
28-01-976708,3354,8199,-2.565167188644409,0.47523761880940474,7.5741773699854615,8.799479516194543,3599.53401775197,4181.643692038428
28-01-987951,3313,8174,-2.5516843795776367,0.5127563781890946,6.934519287358013,8.064780590415875,3555.718994268116,4135.067686431352
28-02-001024,3313,8174,-2.5516843795776367,0.5127563781890946,6.934519287358013,8.064780590415875,3555.718994268116,4135.067686431352
28-02-013388,3313,8174,-2.5516843795776367,0.5127563781890946,6.934519287358013,8.064780590415875,3555.718994268116,4135.067686431352
28-02-025473,3313,8174,-2.5516843795776367,0.5127563781890946,6.934519287358013,8.064780590415875,3555.718994268116,4135.067686431352
28-02-036949,3313,8174,-2.5516843795776367,0.5127563781890946,6.934519287358013,8.064780590415875,3555.718994268116,4135.067686431352
28-02-047868,3313,8174,-2.5516843795776367,0.5127563781890946,6.934519287358013,8.064780590415875,3555.718994268116,4135.067686431352
