time,x,y,theta,speed,mti,mte,dti,dte
22-52-187987,0,0,0,0.0,,,,
22-52-200147,0,0,0,0.0,,,,
22-52-213003,0,0,0,0.0,,,,
22-52-223422,0,0,0,0.0,,,,
22-52-236291,0,0,0,0.0,,,,
22-52-249902,0,0,0,0.0,,,,
22-52-263096,0,0,0,0.0,,,,
22-52-274340,0,0,0,0.0,,,,
22-52-284379,0,0,0,0.0,,,,
22-52-295090,0,0,0,0.0,,,,
22-52-304195,0,0,0,0.0,,,,
22-52-314845,0,0,0,0.0,,,,
22-52-324391,0,0,0,0.0,,,,
22-52-336427,0,0,0,0.0,,,,
22-52-348945,0,0,0,0.0,,,,
22-52-360783,0,0,0,0.0,,,,
22-52-371813,0,0,0,0.0,,,,
22-52-382444,0,0,0,0.0,,,,
22-52-393482,0,0,0,0.0,,,,
22-52-404730,0,0,0,0.0,,,,
22-52-414875,0,0,0,0.0,,,,
22-52-425395,0,0,0,0.0,,,,
22-52-435662,0,0,0,0.0,,,,
22-52-448496,0,0,0,0.0,,,,
22-52-460229,0,0,0,0.0,,,,
22-52-469770,0,0,0,0.0,,,,
22-52-481216,0,0,0,0.0,,,,
22-52-491923,0,0,0,0.0,,,,
22-52-501753,0,0,0,0.0,,,,
22-52-511568,0,0,0,0.0,,,,
22-52-522839,0,0,0,0.0,,,,
22-52-533956,0,0,0,0.06253126563281641,,,,
22-52-545183,0,0,0,0.06253126563281641,,,,
22-52-555185,0,0,0,0.06253126563281641,,,,
22-52-564364,0,0,0,0.06253126563281641,,,,
22-52-575736,0,0,0,0.06253126563281641,,,,
22-52-585274,0,0,0,0.06253126563281641,,,,
22-52-597629,0,0,0,0.1500750375187594,,,,
22-52-609443,0,0,0,0.1500750375187594,,,,
22-52-620446,0,0,0,0.1500750375187594,,,,
22-52-633483,0,0,0,0.23761880940470237,,,,
22-52-643070,0,0,0,0.23761880940470237,,,,
22-52-653033,0,0,0,0.23761880940470237,,,,
22-52-663794,0,0,0,0.23761880940470237,,,,
22-52-674117,0,0,0,0.23761880940470237,,,,
22-52-685906,0,0,0,0.23761880940470237,,,,
22-52-695206,0,0,0,0.2876438219109555,,,,
22-52-706895,0,0,0,0.2876438219109555,,,,
22-52-718274,0,0,0,0.2876438219109555,,,,
22-52-729867,0,0,0,0.2876438219109555,,,,
22-52-741311,0,0,0,0.31265632816408206,,,,
22-52-753262,0,0,0,0.31265632816408206,,,,
22-52-763709,0,0,0,0.31265632816408206,,,,
22-52-772540,0,0,0,0.31265632816408206,,,,
22-52-783053,0,0,0,0.31265632816408206,,,,
22-52-793879,0,0,0,0.31265632816408206,,,,
22-52-805308,0,0,0,0.3001500750375188,,,,
22-52-815305,0,0,0,0.3001500750375188,,,,
22-52-824767,0,0,0,0.3001500750375188,,,,
22-52-836451,0,0,0,0.3001500750375188,,,,
22-52-848640,0,0,0,0.3001500750375188,,,,
22-52-860962,0,0,0,0.3001500750375188,,,,
22-52-870750,0,0,0,0.3001500750375188,,,,
22-52-880971,0,0,0,0.2751375687843922,,,,
22-52-891210,0,0,0,0.2751375687843922,,,,
22-52-901283,0,0,0,0.2751375687843922,,,,
22-52-912689,0,0,0,0.2751375687843922,,,,
22-52-922195,0,0,0,0.2751375687843922,,,,
22-52-932474,0,0,0,0.2751375687843922,,,,
22-52-942862,0,0,0,0.2751375687843922,,,,
22-52-953544,0,0,0,0.3001500750375188,,,,
22-52-963907,0,0,0,0.3001500750375188,,,,
22-52-974990,0,0,0,0.3001500750375188,,,,
22-52-986250,0,0,0,0.3001500750375188,,,,
