time,x,y,theta,speed,mti,mte,dti,dte
23-36-482714,0,0,0,0.0,,,,
23-36-494472,0,0,0,0.0,,,,
23-36-505556,0,0,0,0.0,,,,
23-36-517690,0,0,0,0.0,,,,
23-36-529853,0,0,0,0.0,,,,
23-36-541214,0,0,0,0.0,,,,
23-36-551853,0,0,0,0.0,,,,
23-36-563792,0,0,0,0.0,,,,
23-36-575572,0,0,0,0.0,,,,
23-36-585988,0,0,0,0.0,,,,
23-36-599046,0,0,0,0.0,,,,
23-36-609333,0,0,0,0.0,,,,
23-36-620574,0,0,0,0.0,,,,
23-36-633402,0,0,0,0.0,,,,
23-36-644642,0,0,0,0.0,,,,
23-36-654015,0,0,0,0.0,,,,
23-36-664092,0,0,0,0.0,,,,
23-36-673966,0,0,0,0.0,,,,
23-36-683743,0,0,0,0.0,,,,
23-36-692881,0,0,0,0.0,,,,
23-36-703139,0,0,0,0.0,,,,
23-36-713361,0,0,0,0.0,,,,
23-36-723652,0,0,0,0.0,,,,
23-36-736097,0,0,0,0.01250625312656328,,,,
23-36-747573,0,0,0,0.01250625312656328,,,,
23-36-758350,0,0,0,0.01250625312656328,,,,
23-36-769608,0,0,0,0.01250625312656328,,,,
23-36-780837,0,0,0,0.12506253126563283,,,,
23-36-792447,0,0,0,0.12506253126563283,,,,
23-36-803568,0,0,0,0.12506253126563283,,,,
23-36-815066,0,0,0,0.12506253126563283,,,,
23-36-825201,0,0,0,0.21260630315157578,,,,
23-36-837346,0,0,0,0.21260630315157578,,,,
23-36-848354,0,0,0,0.21260630315157578,,,,
23-36-858397,0,0,0,0.21260630315157578,,,,
23-36-869764,0,0,0,0.21260630315157578,,,,
23-36-880201,0,0,0,0.21260630315157578,,,,
23-36-889591,0,0,0,0.26263131565782893,,,,
23-36-898667,0,0,0,0.26263131565782893,,,,
23-36-908824,0,0,0,0.26263131565782893,,,,
23-36-919447,0,0,0,0.26263131565782893,,,,
23-36-933401,0,0,0,0.2876438219109555,,,,
23-36-943716,0,0,0,0.2876438219109555,,,,
23-36-953428,0,0,0,0.2876438219109555,,,,
23-36-964374,0,0,0,0.2876438219109555,,,,
23-36-974673,0,0,0,0.2876438219109555,,,,
23-36-984425,0,0,0,0.31265632816408206,,,,
23-36-994300,0,0,0,0.31265632816408206,,,,
23-37-005816,0,0,0,0.31265632816408206,,,,
23-37-017053,0,0,0,0.31265632816408206,,,,
23-37-028202,0,0,0,0.31265632816408206,,,,
23-37-039178,0,0,0,0.31265632816408206,,,,
23-37-048598,0,0,0,0.31265632816408206,,,,
23-37-058795,0,0,0,0.31265632816408206,,,,
23-37-070307,0,0,0,0.31265632816408206,,,,
23-37-080114,0,0,0,0.31265632816408206,,,,
23-37-089966,0,0,0,0.31265632816408206,,,,
23-37-100195,0,0,0,0.2876438219109555,,,,
23-37-110828,0,0,0,0.2876438219109555,,,,
23-37-120118,0,0,0,0.2876438219109555,,,,
23-37-131025,0,0,0,0.2876438219109555,,,,
23-37-140949,0,0,0,0.2876438219109555,,,,
23-37-150756,0,0,0,0.2876438219109555,,,,
23-37-162566,0,0,0,0.2876438219109555,,,,
23-37-172900,0,0,0,0.3001500750375188,,,,
23-37-182550,0,0,0,0.3001500750375188,,,,
23-37-192958,0,0,0,0.3001500750375188,,,,
23-37-203061,0,0,0,0.3001500750375188,,,,
23-37-213478,0,0,0,0.3001500750375188,,,,
23-37-225678,0,0,0,0.3001500750375188,,,,
23-37-234819,0,0,0,0.3001500750375188,,,,
23-37-244465,0,0,0,0.2876438219109555,,,,
23-37-254607,0,0,0,0.2876438219109555,,,,
23-37-265054,0,0,0,0.2876438219109555,,,,
23-37-275205,0,0,0,0.2876438219109555,,,,
23-37-285523,0,0,0,0.2876438219109555,,,,
23-37-295216,0,0,0,0.2876438219109555,,,,
23-37-305353,0,0,0,0.2876438219109555,,,,
23-37-315220,0,0,0,0.2876438219109555,,,,
23-37-325917,0,0,0,0.2876438219109555,,,,
23-37-335507,0,0,0,0.2876438219109555,,,,
23-37-345386,0,0,0,0.2751375687843922,,,,
23-37-356420,0,0,0,0.2751375687843922,,,,
23-37-366151,0,0,0,0.2751375687843922,,,,
23-37-377906,0,0,0,0.2751375687843922,,,,
23-37-390660,0,0,0,0.3001500750375188,,,,
23-37-400357,0,0,0,0.3001500750375188,,,,
23-37-412549,0,0,0,0.3001500750375188,,,,
23-37-422166,0,0,0,0.3001500750375188,,,,
23-37-434215,0,0,0,0.3001500750375188,,,,
23-37-444598,0,0,0,0.3001500750375188,,,,
23-37-454769,0,0,0,0.3001500750375188,,,,
23-37-464301,0,0,0,0.3001500750375188,,,,
23-37-474006,0,0,0,0.3001500750375188,,,,
23-37-484608,0,0,0,0.3001500750375188,,,,
23-37-494740,0,0,0,0.3001500750375188,,,,
23-37-504029,0,0,0,0.3001500750375188,,,,
23-37-515092,0,0,0,0.2876438219109555,,,,
23-37-525231,0,0,0,0.2876438219109555,,,,
23-37-536377,0,0,0,0.2876438219109555,,,,
23-37-547032,0,0,0,0.2751375687843922,,,,
23-37-557224,0,0,0,0.2751375687843922,,,,
23-37-568146,0,0,0,0.2751375687843922,,,,
23-37-578251,0,0,0,0.2751375687843922,,,,
23-37-588083,0,0,0,0.2751375687843922,,,,
23-37-597889,0,0,0,0.2876438219109555,,,,
23-37-609394,0,0,0,0.2876438219109555,,,,
23-37-619973,0,0,0,0.2876438219109555,,,,
23-37-631409,0,0,0,0.2876438219109555,,,,
23-37-642137,0,0,0,0.2876438219109555,,,,
23-37-652192,0,0,0,0.2876438219109555,,,,
23-37-663545,0,0,0,0.3001500750375188,,,,
23-37-674245,0,0,0,0.3001500750375188,,,,
23-37-684044,0,0,0,0.3001500750375188,,,,
23-37-693610,0,0,0,0.3001500750375188,,,,
23-37-704376,0,0,0,0.3001500750375188,,,,
23-37-716075,0,0,0,0.3001500750375188,,,,
23-37-726265,0,0,0,0.3001500750375188,,,,
23-37-736850,0,0,0,0.3001500750375188,,,,
23-37-747612,0,0,0,0.2876438219109555,,,,
23-37-757774,0,0,0,0.2876438219109555,,,,
23-37-767989,0,0,0,0.2876438219109555,,,,
23-37-779250,0,0,0,0.2876438219109555,,,,
23-37-792708,0,0,0,0.2876438219109555,,,,
23-37-804332,0,0,0,0.3001500750375188,,,,
23-37-814738,0,0,0,0.3001500750375188,,,,
23-37-826143,0,0,0,0.3001500750375188,,,,
23-37-838683,0,0,0,0.3001500750375188,,,,
23-37-850518,0,0,0,0.3001500750375188,,,,
23-37-862258,0,0,0,0.2751375687843922,,,,
