time,x,y,theta,speed,mti,mte,dti,dte
03-47-786131,4004,8626,-2.303114891052246,0.0,,,,
03-47-799900,4004,8626,-2.3036632537841797,0.0,,,,
03-47-810696,4004,8626,-2.3036632537841797,0.0,,,,
03-47-821542,4004,8626,-2.3036632537841797,0.0,,,,
03-47-832106,4004,8626,-2.3036632537841797,0.0,,,,
03-47-843785,4004,8626,-2.3036632537841797,0.0,,,,
03-47-853678,4004,8626,-2.3036632537841797,0.0,,,,
03-47-865631,4004,8626,-2.3036632537841797,0.0,,,,
03-47-875388,4004,8626,-2.3036632537841797,0.0,,,,
03-47-886211,4004,8626,-2.3036632537841797,0.0,,,,
03-47-897307,4004,8626,-2.304837942123413,0.0,,,,
03-47-908336,4004,8626,-2.304837942123413,0.0,,,,
03-47-918058,4004,8626,-2.304837942123413,0.0,,,,
03-47-929876,4004,8626,-2.304837942123413,0.0,,,,
03-47-943162,4004,8626,-2.304837942123413,0.0,,,,
03-47-954060,4004,8626,-2.304837942123413,0.0,,,,
03-47-965177,4004,8626,-2.304837942123413,0.0,,,,
03-47-975137,4004,8626,-2.304837942123413,0.0,,,,
03-47-985262,4004,8626,-2.304837942123413,0.0,,,,
03-47-995271,4004,8626,-2.304837942123413,0.0,,,,
03-48-005253,4004,8626,-2.3040568828582764,0.0,,,,
03-48-015668,4004,8626,-2.3040568828582764,0.0,,,,
03-48-025875,4004,8626,-2.3040568828582764,0.0,,,,
03-48-036635,4004,8626,-2.3040568828582764,0.0,,,,
03-48-045846,4004,8626,-2.3040568828582764,0.0,,,,
03-48-055796,4004,8626,-2.3040568828582764,0.0,,,,
03-48-065405,4004,8626,-2.3040568828582764,0.0,,,,
03-48-076423,4004,8626,-2.3040568828582764,0.0,,,,
03-48-087444,4004,8626,-2.3040568828582764,0.0,,,,
03-48-097174,4004,8626,-2.3040568828582764,0.0,,,,
03-48-108436,4004,8626,-2.3046998977661133,0.01250625312656328,,,,
03-48-119418,4004,8626,-2.3046998977661133,0.01250625312656328,,,,
03-48-129074,4004,8626,-2.3046998977661133,0.01250625312656328,,,,
03-48-139672,4004,8626,-2.3046998977661133,0.2126063031515758,,,,
03-48-148973,4004,8626,-2.3046998977661133,0.2126063031515758,,,,
