time,x,y,theta,speed,mti,mte,dti,dte
42-33-109732,942,4483,-1.1270785331726074,0.0,,,,
42-33-126939,942,4483,-1.1260483264923096,0.0,,,,
42-33-138898,942,4483,-1.1260483264923096,0.0,,,,
42-33-149104,942,4483,-1.1260483264923096,0.0,,,,
42-33-158446,942,4483,-1.1260483264923096,0.0,,,,
42-33-168912,942,4483,-1.1260483264923096,0.0,,,,
42-33-179762,942,4483,-1.1260483264923096,0.0,,,,
42-33-190364,942,4483,-1.1260483264923096,0.0,,,,
42-33-200988,942,4483,-1.1260483264923096,0.0,,,,
42-33-211904,942,4483,-1.1260483264923096,0.0,,,,
42-33-222103,942,4483,-1.1260483264923096,0.0,,,,
42-33-235700,942,4483,-1.1266999244689941,0.0,,,,
42-33-246009,942,4483,-1.1266999244689941,0.0,,,,
42-33-256842,942,4483,-1.1266999244689941,0.0,,,,
42-33-268892,942,4483,-1.1266999244689941,0.0,,,,
42-33-279684,942,4483,-1.1266999244689941,0.0,,,,
42-33-290686,942,4483,-1.1266999244689941,0.0,,,,
42-33-302033,942,4483,-1.1266999244689941,0.0,,,,
42-33-313101,942,4483,-1.1266999244689941,0.0,,,,
42-33-325036,942,4483,-1.1266999244689941,0.0,,,,
42-33-335734,942,4483,-1.1270345449447632,0.0750375187593797,,,,
42-33-347002,942,4483,-1.1270345449447632,0.0750375187593797,,,,
42-33-357728,942,4483,-1.1270345449447632,0.0750375187593797,,,,
42-33-370881,942,4483,-1.1270345449447632,0.0750375187593797,,,,
42-33-381880,942,4483,-1.1270345449447632,0.0750375187593797,,,,
42-33-401074,942,4483,-1.1270345449447632,0.17508754377188596,,,,
42-33-410605,942,4483,-1.1270345449447632,0.17508754377188596,,,,
42-33-420987,942,4483,-1.1270345449447632,0.17508754377188596,,,,
42-33-433290,942,4483,-1.1270015239715576,0.17508754377188596,,,,
42-33-444620,942,4483,-1.1270015239715576,0.17508754377188596,,,,
42-33-457510,942,4483,-1.1270015239715576,0.25012506253126565,,,,
42-33-469953,942,4483,-1.1270015239715576,0.25012506253126565,,,,
42-33-480492,942,4483,-1.1270015239715576,0.25012506253126565,,,,
42-33-491220,942,4483,-1.1270015239715576,0.31265632816408206,,,,
42-33-500559,942,4483,-1.1270015239715576,0.31265632816408206,,,,
42-33-510399,942,4483,-1.1270015239715576,0.31265632816408206,,,,
42-33-520716,942,4483,-1.1270015239715576,0.31265632816408206,,,,
42-33-532996,942,4484,-1.128113865852356,0.31265632816408206,,,,
42-33-542791,942,4484,-1.128113865852356,0.31265632816408206,,,,
42-33-552523,942,4484,-1.128113865852356,0.2876438219109555,,,,
42-33-561970,942,4484,-1.128113865852356,0.2876438219109555,,,,
42-33-572210,942,4484,-1.128113865852356,0.2876438219109555,,,,
42-33-582234,942,4484,-1.128113865852356,0.2876438219109555,,,,
42-33-593075,942,4484,-1.128113865852356,0.2876438219109555,,,,
42-33-603471,942,4484,-1.128113865852356,0.31265632816408206,,,,
42-33-613813,942,4484,-1.128113865852356,0.31265632816408206,,,,
42-33-623348,942,4484,-1.128113865852356,0.31265632816408206,,,,
42-33-639356,958,4446,-1.1242743730545044,0.31265632816408206,,,,
42-33-648838,958,4446,-1.1242743730545044,0.31265632816408206,,,,
42-33-661227,958,4446,-1.1242743730545044,0.31265632816408206,,,,
42-33-671302,958,4446,-1.1242743730545044,0.31265632816408206,,,,
42-33-681581,958,4446,-1.1242743730545044,0.31265632816408206,,,,
42-33-692914,958,4446,-1.1242743730545044,0.2876438219109555,,,,
42-33-704683,958,4446,-1.1242743730545044,0.2876438219109555,,,,
42-33-714866,958,4446,-1.1242743730545044,0.2876438219109555,,,,
42-33-725139,958,4446,-1.1242743730545044,0.2876438219109555,,,,
42-33-735929,972,4416,-1.1210176944732666,0.2876438219109555,,,,
42-33-746032,972,4416,-1.1210176944732666,0.2876438219109555,,,,
42-33-757145,982,4392,-1.117539405822754,0.3001500750375188,,,,
42-33-767334,982,4392,-1.117539405822754,0.3001500750375188,,,,
42-33-778060,982,4392,-1.117539405822754,0.3001500750375188,,,,
42-33-789305,982,4392,-1.117539405822754,0.3001500750375188,,,,
42-33-799850,982,4392,-1.117539405822754,0.3001500750375188,,,,
42-33-811318,982,4392,-1.117539405822754,0.3001500750375188,,,,
42-33-822447,982,4392,-1.117539405822754,0.3001500750375188,,,,
42-33-834099,996,4363,-1.114263653755188,0.3001500750375188,,,,
42-33-844324,996,4363,-1.114263653755188,0.3001500750375188,,,,
42-33-856454,996,4363,-1.114263653755188,0.3001500750375188,,,,
42-33-869870,996,4363,-1.114263653755188,0.3001500750375188,,,,
42-33-879572,996,4363,-1.114263653755188,0.3001500750375188,,,,
42-33-890425,996,4363,-1.114263653755188,0.3001500750375188,,,,
42-33-900372,996,4363,-1.114263653755188,0.2876438219109555,,,,
42-33-913585,996,4363,-1.114263653755188,0.2876438219109555,,,,
42-33-925080,996,4363,-1.114263653755188,0.2876438219109555,,,,
42-33-936248,996,4363,-1.114263653755188,0.2876438219109555,,,,
42-33-947371,1006,4342,-1.1148980855941772,0.2876438219109555,,,,
42-33-957237,1006,4342,-1.1148980855941772,0.2876438219109555,,,,
42-33-967277,1006,4342,-1.1148980855941772,0.31265632816408206,,,,
42-33-978792,1006,4342,-1.1148980855941772,0.31265632816408206,,,,
42-33-990874,1016,4320,-1.1127464771270752,0.31265632816408206,,,,
42-34-003162,1016,4320,-1.1127464771270752,0.31265632816408206,,,,
42-34-017144,1016,4320,-1.1127464771270752,0.2876438219109555,,,,
42-34-028003,1016,4320,-1.1127464771270752,0.2876438219109555,,,,
42-34-039575,1016,4320,-1.1127464771270752,0.2876438219109555,,,,
42-34-051481,1016,4320,-1.1127464771270752,0.2876438219109555,,,,
42-34-062713,1016,4320,-1.1127464771270752,0.2876438219109555,,,,
42-34-073701,1016,4320,-1.1127464771270752,0.2876438219109555,,,,
42-34-086274,1016,4320,-1.1127464771270752,0.2876438219109555,,,,
42-34-097225,1016,4320,-1.1127464771270752,0.2876438219109555,,,,
42-34-108677,1016,4320,-1.1127464771270752,0.3001500750375188,,,,
42-34-119470,1016,4320,-1.1127464771270752,0.3001500750375188,,,,
42-34-129371,1016,4320,-1.1127464771270752,0.3001500750375188,,,,
42-34-140519,1016,4320,-1.1127464771270752,0.3001500750375188,,,,
42-34-151923,1039,4273,-1.10725998878479,0.3001500750375188,,,,
42-34-164439,1039,4273,-1.10725998878479,0.2876438219109555,,,,
42-34-176648,1039,4273,-1.10725998878479,0.2876438219109555,,,,
42-34-187420,1039,4273,-1.10725998878479,0.2876438219109555,,,,
42-34-197168,1039,4273,-1.10725998878479,0.2876438219109555,,,,
42-34-208682,1039,4273,-1.10725998878479,0.2876438219109555,,,,
42-34-219653,1039,4273,-1.10725998878479,0.3001500750375188,,,,
42-34-231168,1039,4273,-1.10725998878479,0.3001500750375188,,,,
42-34-243132,1039,4273,-1.10725998878479,0.3001500750375188,,,,
42-34-254329,1050,4253,-1.1036725044250488,0.3001500750375188,,,,
42-34-266019,1050,4253,-1.1036725044250488,0.2876438219109555,,,,
42-34-276484,1050,4253,-1.1036725044250488,0.2876438219109555,,,,
42-34-286258,1050,4253,-1.1036725044250488,0.2876438219109555,,,,
42-34-296503,1050,4253,-1.1036725044250488,0.2876438219109555,,,,
42-34-306950,1050,4253,-1.1036725044250488,0.2876438219109555,,,,
42-34-316939,1050,4253,-1.1036725044250488,0.2751375687843922,,,,
42-34-328840,1050,4253,-1.1036725044250488,0.2751375687843922,,,,
42-34-340240,1050,4253,-1.1036725044250488,0.2751375687843922,,,,
42-34-351737,1063,4227,-1.0974427461624146,0.2751375687843922,,,,
42-34-362366,1063,4227,-1.0974427461624146,0.3001500750375188,,,,
42-34-373496,1063,4227,-1.0974427461624146,0.3001500750375188,,,,
42-34-383706,1063,4227,-1.0974427461624146,0.3001500750375188,,,,
42-34-394100,1063,4227,-1.0974427461624146,0.3001500750375188,,,,
42-34-404230,1063,4227,-1.0974427461624146,0.3001500750375188,,,,
42-34-415941,1063,4227,-1.0974427461624146,0.3001500750375188,,,,
42-34-426625,1063,4227,-1.0974427461624146,0.2876438219109555,,,,
42-34-440206,1063,4227,-1.0974427461624146,0.2876438219109555,,,,
42-34-452391,1063,4227,-1.0974427461624146,0.2876438219109555,,,,
42-34-464595,1086,4180,-1.094896912574768,0.3001500750375188,,,,
42-34-474247,1086,4180,-1.094896912574768,0.3001500750375188,,,,
42-34-485078,1086,4180,-1.094896912574768,0.3001500750375188,,,,
42-34-496974,1086,4180,-1.094896912574768,0.3001500750375188,,,,
42-34-507828,1086,4180,-1.094896912574768,0.3001500750375188,,,,
42-34-518828,1086,4180,-1.094896912574768,0.2876438219109555,,,,
42-34-530283,1086,4180,-1.094896912574768,0.2876438219109555,,,,
42-34-540951,1086,4180,-1.094896912574768,0.2876438219109555,,,,
42-34-551923,1086,4180,-1.094896912574768,0.2876438219109555,,,,
42-34-564466,1098,4154,-1.0885510444641113,0.2876438219109555,,,,
42-34-574865,1098,4154,-1.0885510444641113,0.3001500750375188,,,,
42-34-589038,1109,4133,-1.0849345922470093,0.3001500750375188,,,,
42-34-600154,1109,4133,-1.0849345922470093,0.3001500750375188,,,,
42-34-611348,1109,4133,-1.0849345922470093,0.3001500750375188,,,,
42-34-623680,1109,4133,-1.0849345922470093,0.3001500750375188,,,,
42-34-635327,1109,4133,-1.0849345922470093,0.3001500750375188,,,,
42-34-645620,1109,4133,-1.0849345922470093,0.3001500750375188,,,,
42-34-657483,1123,4106,-1.08074951171875,0.3001500750375188,,,,
42-34-667235,1123,4106,-1.08074951171875,0.3001500750375188,,,,
42-34-679147,1123,4106,-1.08074951171875,0.3001500750375188,,,,
42-34-690504,1123,4106,-1.08074951171875,0.3001500750375188,,,,
42-34-701157,1123,4106,-1.08074951171875,0.3001500750375188,,,,
42-34-711546,1123,4106,-1.08074951171875,0.3001500750375188,,,,
42-34-721986,1123,4106,-1.08074951171875,0.3001500750375188,,,,
42-34-732177,1123,4106,-1.08074951171875,0.31265632816408206,,,,
42-34-744068,1123,4106,-1.08074951171875,0.31265632816408206,,,,
42-34-755859,1123,4106,-1.08074951171875,0.31265632816408206,,,,
42-34-768656,1135,4084,-1.0771363973617554,0.31265632816408206,,,,
42-34-779468,1135,4084,-1.0771363973617554,0.2876438219109555,,,,
42-34-790344,1135,4084,-1.0771363973617554,0.2876438219109555,,,,
42-34-802726,1135,4084,-1.0771363973617554,0.2876438219109555,,,,
42-34-815218,1135,4084,-1.0771363973617554,0.2876438219109555,,,,
42-34-826227,1135,4084,-1.0771363973617554,0.2876438219109555,,,,
42-34-839319,1135,4084,-1.0771363973617554,0.3001500750375188,,,,
42-34-849470,1135,4084,-1.0771363973617554,0.3001500750375188,,,,
42-34-858652,1135,4084,-1.0771363973617554,0.3001500750375188,,,,
42-34-870309,1150,4057,-1.0704699754714966,0.3001500750375188,,,,
42-34-880544,1150,4057,-1.0704699754714966,0.3001500750375188,,,,
42-34-890453,1150,4057,-1.0704699754714966,0.3001500750375188,,,,
42-34-901040,1150,4057,-1.0704699754714966,0.3001500750375188,,,,
42-34-912484,1150,4057,-1.0704699754714966,0.3001500750375188,,,,
42-34-924174,1150,4057,-1.0704699754714966,0.3001500750375188,,,,
42-34-937967,1150,4057,-1.0704699754714966,0.3001500750375188,,,,
42-34-949029,1150,4057,-1.0704699754714966,0.2876438219109555,,,,
42-34-960915,1150,4057,-1.0704699754714966,0.2876438219109555,,,,
42-34-975355,1176,4008,-1.0600106716156006,0.2876438219109555,,,,
42-34-986239,1176,4008,-1.0600106716156006,0.2876438219109555,,,,
42-34-997989,1176,4008,-1.0600106716156006,0.2876438219109555,,,,
42-35-010049,1176,4008,-1.0600106716156006,0.2876438219109555,,,,
42-35-021864,1176,4008,-1.0600106716156006,0.2876438219109555,,,,
42-35-033635,1189,3987,-1.053337574005127,0.2876438219109555,,,,
42-35-045210,1189,3987,-1.053337574005127,0.2876438219109555,,,,
42-35-057522,1189,3987,-1.053337574005127,0.2876438219109555,,,,
42-35-068160,1189,3987,-1.053337574005127,0.2876438219109555,,,,
42-35-079373,1189,3987,-1.053337574005127,0.2876438219109555,,,,
42-35-092381,1189,3987,-1.053337574005127,0.2876438219109555,,,,
42-35-105032,1189,3987,-1.053337574005127,0.2876438219109555,,,,
42-35-115524,1189,3987,-1.053337574005127,0.2876438219109555,,,,
42-35-126375,1189,3987,-1.053337574005127,0.3001500750375188,,,,
42-35-137581,1189,3987,-1.053337574005127,0.3001500750375188,,,,
42-35-148531,1189,3987,-1.053337574005127,0.3001500750375188,,,,
42-35-159430,1189,3987,-1.053337574005127,0.3001500750375188,,,,
42-35-170559,1199,3966,-1.0511090755462646,0.3001500750375188,,,,
42-35-182006,1199,3966,-1.0511090755462646,0.3001500750375188,,,,
42-35-194558,1199,3966,-1.0511090755462646,0.31265632816408206,,,,
42-35-205959,1199,3966,-1.0511090755462646,0.31265632816408206,,,,
42-35-216905,1199,3966,-1.0511090755462646,0.31265632816408206,,,,
42-35-228106,1199,3966,-1.0511090755462646,0.2876438219109555,,,,
42-35-239134,1199,3966,-1.0511090755462646,0.2876438219109555,,,,
42-35-248832,1199,3966,-1.0511090755462646,0.2876438219109555,,,,
42-35-259078,1199,3966,-1.0511090755462646,0.2876438219109555,,,,
42-35-270573,1199,3966,-1.0511090755462646,0.2876438219109555,,,,
42-35-281709,1228,3913,-1.0420893430709839,0.2876438219109555,,,,
42-35-291659,1228,3913,-1.0420893430709839,0.3001500750375188,,,,
42-35-302902,1228,3913,-1.0420893430709839,0.3001500750375188,,,,
42-35-314248,1228,3913,-1.0420893430709839,0.3001500750375188,,,,
42-35-326449,1228,3913,-1.0420893430709839,0.3001500750375188,,,,
42-35-336833,1228,3913,-1.0420893430709839,0.3001500750375188,,,,
42-35-348128,1228,3913,-1.0420893430709839,0.3001500750375188,,,,
42-35-360156,1228,3913,-1.0420893430709839,0.2876438219109555,,,,
42-35-371019,1228,3913,-1.0420893430709839,0.2876438219109555,,,,
42-35-381727,1242,3887,-1.0375306606292725,0.2876438219109555,,,,
42-35-391014,1242,3887,-1.0375306606292725,0.2876438219109555,,,,
42-35-401853,1242,3887,-1.0375306606292725,0.3001500750375188,,,,
42-35-413187,1242,3887,-1.0375306606292725,0.3001500750375188,,,,
42-35-424431,1242,3887,-1.0375306606292725,0.3001500750375188,,,,
42-35-436018,1242,3887,-1.0375306606292725,0.2876438219109555,,,,
42-35-447725,1242,3887,-1.0375306606292725,0.2876438219109555,,,,
42-35-457669,1242,3887,-1.0375306606292725,0.2876438219109555,,,,
42-35-470066,1242,3887,-1.0375306606292725,0.2876438219109555,,,,
42-35-482173,1254,3866,-1.0381834506988525,0.2876438219109555,,,,
42-35-492557,1254,3866,-1.0381834506988525,0.2876438219109555,,,,
42-35-505211,1271,3839,-1.0285871028900146,0.31265632816408206,,,,
42-35-515184,1271,3839,-1.0285871028900146,0.31265632816408206,,,,
42-35-525645,1271,3839,-1.0285871028900146,0.31265632816408206,,,,
42-35-536937,1271,3839,-1.0285871028900146,0.31265632816408206,,,,
42-35-546628,1271,3839,-1.0285871028900146,0.3001500750375188,,,,
42-35-556768,1271,3839,-1.0285871028900146,0.3001500750375188,,,,
42-35-569276,1271,3839,-1.0285871028900146,0.3001500750375188,,,,
42-35-581435,1271,3839,-1.0285871028900146,0.3001500750375188,,,,
42-35-592048,1271,3839,-1.0285871028900146,0.3001500750375188,,,,
42-35-603764,1271,3839,-1.0285871028900146,0.3001500750375188,,,,
42-35-616000,1271,3839,-1.0285871028900146,0.2751375687843922,,,,
42-35-628652,1271,3839,-1.0285871028900146,0.2751375687843922,,,,
42-35-639490,1271,3839,-1.0285871028900146,0.2751375687843922,,,,
42-35-650251,1271,3839,-1.0285871028900146,0.3001500750375188,,,,
42-35-661402,1271,3839,-1.0285871028900146,0.3001500750375188,,,,
42-35-672467,1271,3839,-1.0285871028900146,0.3001500750375188,,,,
42-35-685285,1297,3792,-1.0263234376907349,0.3001500750375188,,,,
42-35-695738,1297,3792,-1.0263234376907349,0.3001500750375188,,,,
42-35-705939,1297,3792,-1.0263234376907349,0.2876438219109555,,,,
42-35-715598,1297,3792,-1.0263234376907349,0.2876438219109555,,,,
42-35-725020,1297,3792,-1.0263234376907349,0.2876438219109555,,,,
42-35-736604,1297,3792,-1.0263234376907349,0.2876438219109555,,,,
42-35-748025,1297,3792,-1.0263234376907349,0.31265632816408206,,,,
42-35-758338,1297,3792,-1.0263234376907349,0.31265632816408206,,,,
42-35-770659,1297,3792,-1.0263234376907349,0.31265632816408206,,,,
42-35-780660,1297,3792,-1.0263234376907349,0.31265632816408206,,,,
42-35-793217,1313,3767,-1.0206388235092163,0.31265632816408206,,,,
42-35-804752,1313,3767,-1.0206388235092163,0.31265632816408206,,,,
42-35-815223,1313,3767,-1.0206388235092163,0.2751375687843922,,,,
42-35-825425,1313,3767,-1.0206388235092163,0.2751375687843922,,,,
42-35-837486,1313,3767,-1.0206388235092163,0.2751375687843922,,,,
42-35-847922,1313,3767,-1.0206388235092163,0.2751375687843922,,,,
42-35-857674,1313,3767,-1.0206388235092163,0.2876438219109555,,,,
42-35-869293,1313,3767,-1.0206388235092163,0.2876438219109555,,,,
42-35-880869,1313,3767,-1.0206388235092163,0.2876438219109555,,,,
42-35-891991,1341,3720,-1.0188443660736084,0.2876438219109555,,,,
42-35-902466,1341,3720,-1.0188443660736084,0.3001500750375188,,,,
42-35-912962,1341,3720,-1.0188443660736084,0.3001500750375188,,,,
42-35-922778,1341,3720,-1.0188443660736084,0.3001500750375188,,,,
42-35-936061,1341,3720,-1.0188443660736084,0.3001500750375188,,,,
42-35-946556,1341,3720,-1.0188443660736084,0.3001500750375188,,,,
42-35-958418,1356,3694,-1.0147806406021118,0.2876438219109555,,,,
42-35-969305,1356,3694,-1.0147806406021118,0.2876438219109555,,,,
42-35-980568,1356,3694,-1.0147806406021118,0.2876438219109555,,,,
42-35-992880,1356,3694,-1.0147806406021118,0.2876438219109555,,,,
42-36-005273,1356,3694,-1.0147806406021118,0.2876438219109555,,,,
42-36-018389,1356,3694,-1.0147806406021118,0.3001500750375188,,,,
42-36-030029,1356,3694,-1.0147806406021118,0.3001500750375188,,,,
42-36-039999,1368,3675,-1.009434461593628,0.3001500750375188,,,,
42-36-050132,1368,3675,-1.009434461593628,0.3001500750375188,,,,
42-36-061358,1368,3675,-1.009434461593628,0.2876438219109555,,,,
42-36-073490,1368,3675,-1.009434461593628,0.2876438219109555,,,,
42-36-086397,1368,3675,-1.009434461593628,0.2876438219109555,,,,
42-36-097991,1368,3675,-1.009434461593628,0.2876438219109555,,,,
42-36-110509,1368,3675,-1.009434461593628,0.2876438219109555,,,,
42-36-119840,1368,3675,-1.009434461593628,0.3001500750375188,,,,
42-36-129313,1368,3675,-1.009434461593628,0.3001500750375188,,,,
42-36-139942,1368,3675,-1.009434461593628,0.3001500750375188,,,,
42-36-150446,1368,3675,-1.009434461593628,0.3001500750375188,,,,
42-36-161880,1368,3675,-1.009434461593628,0.3001500750375188,,,,
42-36-171663,1368,3675,-1.009434461593628,0.3001500750375188,,,,
42-36-181534,1368,3675,-1.009434461593628,0.3001500750375188,,,,
42-36-192047,1368,3675,-1.009434461593628,0.3001500750375188,,,,
42-36-203522,1396,3627,-1.006127119064331,0.3001500750375188,,,,
42-36-215151,1396,3627,-1.006127119064331,0.3001500750375188,,,,
42-36-226617,1396,3627,-1.006127119064331,0.3001500750375188,,,,
42-36-240062,1396,3627,-1.006127119064331,0.3001500750375188,,,,
42-36-251398,1396,3627,-1.006127119064331,0.3001500750375188,,,,
42-36-262404,1396,3627,-1.006127119064331,0.3001500750375188,,,,
42-36-273867,1396,3627,-1.006127119064331,0.3001500750375188,,,,
42-36-285447,1396,3627,-1.006127119064331,0.3001500750375188,,,,
42-36-298304,1396,3627,-1.006127119064331,0.3001500750375188,,,,
42-36-308711,1413,3601,-1.0028080940246582,0.3001500750375188,,,,
42-36-320864,1413,3601,-1.0028080940246582,0.3001500750375188,,,,
42-36-332253,1413,3601,-1.0028080940246582,0.3001500750375188,,,,
42-36-342551,1413,3601,-1.0028080940246582,0.3001500750375188,,,,
42-36-353341,1413,3601,-1.0028080940246582,0.3001500750375188,,,,
42-36-364626,1413,3601,-1.0028080940246582,0.3001500750375188,,,,
42-36-376038,1413,3601,-1.0028080940246582,0.3001500750375188,,,,
42-36-387681,1413,3601,-1.0028080940246582,0.2876438219109555,,,,
42-36-399813,1429,3575,-1.0034692287445068,0.2876438219109555,,,,
42-36-410437,1429,3575,-1.0034692287445068,0.2876438219109555,,,,
42-36-419981,1429,3575,-1.0034692287445068,0.2876438219109555,,,,
42-36-431376,1429,3575,-1.0034692287445068,0.2876438219109555,,,,
42-36-440993,1429,3575,-1.0034692287445068,0.2876438219109555,,,,
42-36-453227,1429,3575,-1.0034692287445068,0.2876438219109555,,,,
42-36-463413,1429,3575,-1.0034692287445068,0.2876438219109555,,,,
42-36-474347,1429,3575,-1.0034692287445068,0.3001500750375188,,,,
42-36-485338,1429,3575,-1.0034692287445068,0.3001500750375188,,,,
42-36-495858,1429,3575,-1.0034692287445068,0.3001500750375188,,,,
