time,x,y,theta,speed,mti,mte,dti,dte
31-28-610755,940,4509,-1.1631888151168823,0.0,,,,
31-28-624512,940,4509,-1.1631888151168823,0.0,,,,
31-28-637557,940,4509,-1.1631888151168823,0.0,,,,
31-28-648720,940,4509,-1.164148211479187,0.0,,,,
31-28-658648,940,4509,-1.164148211479187,0.0,,,,
31-28-667765,940,4509,-1.164148211479187,0.0,,,,
31-28-679344,940,4509,-1.164148211479187,0.0,,,,
31-28-691328,940,4509,-1.164148211479187,0.0,,,,
31-28-702813,940,4509,-1.164148211479187,0.0,,,,
31-28-715308,940,4509,-1.164148211479187,0.0,,,,
31-28-724663,940,4509,-1.164148211479187,0.0,,,,
31-28-735863,940,4509,-1.164148211479187,0.0,,,,
31-28-748244,940,4509,-1.1639584302902222,0.0,,,,
31-28-766923,940,4509,-1.1639584302902222,0.0,,,,
31-28-777110,940,4509,-1.1639584302902222,0.0,,,,
31-28-788624,940,4509,-1.1639584302902222,0.0,,,,
31-28-799307,940,4509,-1.1639584302902222,0.0,,,,
31-28-809886,940,4509,-1.1639584302902222,0.0,,,,
31-28-819648,940,4509,-1.1639584302902222,0.0,,,,
31-28-830547,940,4509,-1.1639584302902222,0.0,,,,
31-28-842979,940,4509,-1.1639584302902222,0.0,,,,
31-28-854439,940,4509,-1.1637294292449951,0.0,,,,
31-28-868224,940,4509,-1.1637294292449951,0.0,,,,
31-28-879911,940,4509,-1.1637294292449951,0.05002501250625312,,,,
31-28-892636,940,4509,-1.1637294292449951,0.05002501250625312,,,,
31-28-903798,940,4509,-1.1637294292449951,0.05002501250625312,,,,
31-28-914645,940,4509,-1.1637294292449951,0.05002501250625312,,,,
31-28-925722,940,4509,-1.1637294292449951,0.1500750375187594,,,,
31-28-939142,940,4509,-1.1637294292449951,0.1500750375187594,,,,
31-28-950427,940,4509,-1.1646405458450317,0.1500750375187594,,,,
31-28-962772,940,4509,-1.1646405458450317,0.1500750375187594,,,,
31-28-974425,940,4509,-1.1646405458450317,0.2251125562781391,,,,
31-28-984183,940,4509,-1.1646405458450317,0.2251125562781391,,,,
31-28-995073,940,4509,-1.1646405458450317,0.2251125562781391,,,,
31-29-008910,940,4509,-1.1646405458450317,0.2251125562781391,,,,
31-29-018162,940,4509,-1.1646405458450317,0.2251125562781391,,,,
31-29-028787,940,4509,-1.1646405458450317,0.2751375687843922,,,,
31-29-039501,940,4509,-1.1646405458450317,0.2751375687843922,,,,
31-29-049698,940,4509,-1.1637322902679443,0.2751375687843922,,,,
31-29-058855,940,4509,-1.1637322902679443,0.2751375687843922,,,,
31-29-070224,940,4509,-1.1637322902679443,0.31265632816408206,,,,
31-29-082403,940,4509,-1.1637322902679443,0.31265632816408206,,,,
31-29-093211,940,4509,-1.1637322902679443,0.31265632816408206,,,,
31-29-103363,940,4509,-1.1637322902679443,0.31265632816408206,,,,
31-29-113421,940,4509,-1.1637322902679443,0.3001500750375188,,,,
31-29-122640,940,4509,-1.1637322902679443,0.3001500750375188,,,,
31-29-132635,940,4509,-1.1637322902679443,0.3001500750375188,,,,
31-29-144767,940,4509,-1.1637322902679443,0.3001500750375188,,,,
31-29-156618,940,4509,-1.1637322902679443,0.3001500750375188,,,,
31-29-168824,949,4486,-1.1574974060058594,0.3001500750375188,,,,
31-29-179058,949,4486,-1.1574974060058594,0.32516258129064535,,,,
31-29-191391,949,4486,-1.1574974060058594,0.32516258129064535,,,,
31-29-201095,949,4486,-1.1574974060058594,0.32516258129064535,,,,
31-29-216075,949,4486,-1.1574974060058594,0.32516258129064535,,,,
31-29-226871,949,4486,-1.1574974060058594,0.3001500750375188,,,,
31-29-237183,949,4486,-1.1574974060058594,0.3001500750375188,,,,
31-29-247823,949,4486,-1.1574974060058594,0.3001500750375188,,,,
31-29-260045,962,4456,-1.1514557600021362,0.3001500750375188,,,,
31-29-273435,962,4456,-1.1514557600021362,0.3001500750375188,,,,
31-29-283927,962,4456,-1.1514557600021362,0.3001500750375188,,,,
31-29-295506,962,4456,-1.1514557600021362,0.3001500750375188,,,,
31-29-306628,962,4456,-1.1514557600021362,0.3001500750375188,,,,
31-29-318682,962,4456,-1.1514557600021362,0.3001500750375188,,,,
31-29-330034,962,4456,-1.1514557600021362,0.3001500750375188,,,,
31-29-342199,962,4456,-1.1514557600021362,0.3001500750375188,,,,
31-29-353480,962,4456,-1.1514557600021362,0.3001500750375188,,,,
31-29-366691,976,4426,-1.147132158279419,0.3001500750375188,,,,
31-29-380039,976,4426,-1.147132158279419,0.3001500750375188,,,,
31-29-392812,976,4426,-1.147132158279419,0.2876438219109555,,,,
31-29-404617,976,4426,-1.147132158279419,0.2876438219109555,,,,
31-29-416111,976,4426,-1.147132158279419,0.2876438219109555,,,,
31-29-429240,976,4426,-1.147132158279419,0.2876438219109555,,,,
31-29-440037,976,4426,-1.147132158279419,0.2876438219109555,,,,
31-29-452423,976,4426,-1.147132158279419,0.32516258129064535,,,,
31-29-465466,1000,4370,-1.1371222734451294,0.32516258129064535,,,,
31-29-476366,1000,4370,-1.1371222734451294,0.32516258129064535,,,,
31-29-489911,1000,4370,-1.1371222734451294,0.2751375687843922,,,,
31-29-503021,1000,4370,-1.1371222734451294,0.2751375687843922,,,,
31-29-515169,1000,4370,-1.1371222734451294,0.2751375687843922,,,,
31-29-527414,1000,4370,-1.1371222734451294,0.2751375687843922,,,,
31-29-537701,1000,4370,-1.1371222734451294,0.2751375687843922,,,,
31-29-550102,1000,4370,-1.1371222734451294,0.2876438219109555,,,,
31-29-564743,1011,4348,-1.1324002742767334,0.2876438219109555,,,,
