time,x,y,theta,speed,mti,mte,dti,dte
28-20-487253,3841,7433,-1.6013107299804688,0.0,,,,
28-20-498616,3841,7433,-1.6013107299804688,0.0,,,,
28-20-510129,3841,7433,-1.6013107299804688,0.0,,,,
28-20-520868,3841,7433,-1.6013107299804688,0.0,,,,
28-20-531234,3841,7433,-1.6014394760131836,0.0,,,,
28-20-541283,3840,7433,-1.6023920774459839,0.0,,,,
28-20-552002,3840,7433,-1.6023920774459839,0.0,,,,
28-20-562586,3840,7433,-1.6023920774459839,0.0,,,,
28-20-572608,3840,7433,-1.6023920774459839,0.0,,,,
28-20-584302,3840,7433,-1.6023920774459839,0.0,,,,
28-20-595205,3840,7433,-1.6023920774459839,0.0,,,,
28-20-606976,3840,7433,-1.6023920774459839,0.0,,,,
28-20-618795,3840,7433,-1.6023920774459839,0.0,,,,
28-20-630161,3840,7433,-1.6023920774459839,0.0,,,,
28-20-640325,3840,7433,-1.600721001625061,0.0,,,,
28-20-651147,3840,7433,-1.600721001625061,0.0,,,,
28-20-661173,3840,7433,-1.600721001625061,0.0,,,,
28-20-672131,3840,7433,-1.600721001625061,0.0,,,,
28-20-682561,3840,7433,-1.600721001625061,0.0,,,,
28-20-692625,3840,7433,-1.600721001625061,0.0,,,,
28-20-703443,3840,7433,-1.600721001625061,0.0,,,,
28-20-714222,3840,7433,-1.600721001625061,0.0,,,,
28-20-725287,3840,7433,-1.600721001625061,0.0,,,,
28-20-737544,3841,7433,-1.601237177848816,0.0,,,,
28-20-747900,3841,7433,-1.601237177848816,0.0,,,,
28-20-758885,3841,7433,-1.601237177848816,0.0,,,,
28-20-768362,3841,7433,-1.601237177848816,0.0,,,,
28-20-778341,3841,7433,-1.601237177848816,0.0,,,,
28-20-788254,3841,7433,-1.601237177848816,0.0,,,,
28-20-798715,3841,7433,-1.601237177848816,0.0,,,,
28-20-809368,3841,7433,-1.601237177848816,0.0,,,,
28-20-820114,3841,7433,-1.601237177848816,0.0,,,,
28-20-831103,3841,7433,-1.601237177848816,0.0,,,,
28-20-844462,3841,7433,-1.6016343832015991,0.0,,,,
28-20-856057,3841,7433,-1.6016343832015991,0.0,,,,
28-20-866586,3841,7433,-1.6016343832015991,0.0,,,,
28-20-876751,3841,7433,-1.6016343832015991,0.0,,,,
28-20-887374,3841,7433,-1.6016343832015991,0.01250625312656328,,,,
28-20-897177,3841,7433,-1.6016343832015991,0.01250625312656328,,,,
28-20-906730,3841,7433,-1.6016343832015991,0.01250625312656328,,,,
28-20-919469,3841,7433,-1.6016343832015991,0.10005002501250625,,,,
28-20-929824,3841,7433,-1.6016343832015991,0.10005002501250625,,,,
