time,x,y,theta,speed,mti,mte,dti,dte
00-09-872273,0,0,0,0.0,,,,
00-09-883663,0,0,0,0.0,,,,
00-09-894851,0,0,0,0.0,,,,
00-09-905161,0,0,0,0.0,,,,
00-09-915314,0,0,0,0.0,,,,
00-09-925330,0,0,0,0.0,,,,
00-09-936164,0,0,0,0.0,,,,
00-09-946179,0,0,0,0.0,,,,
00-09-956843,0,0,0,0.0,,,,
00-09-967346,0,0,0,0.0,,,,
00-09-977616,0,0,0,0.0,,,,
00-09-989685,0,0,0,0.0,,,,
00-10-001584,0,0,0,0.0,,,,
00-10-014437,0,0,0,0.0,,,,
00-10-024116,0,0,0,0.0,,,,
00-10-032650,0,0,0,0.0,,,,
00-10-043051,0,0,0,0.0,,,,
00-10-053421,0,0,0,0.0,,,,
00-10-064953,0,0,0,0.0,,,,
00-10-076521,0,0,0,0.0,,,,
00-10-087572,0,0,0,0.0,,,,
00-10-097906,0,0,0,0.0,,,,
00-10-109606,0,0,0,0.0,,,,
00-10-120893,0,0,0,0.0,,,,
00-10-130971,0,0,0,0.0,,,,
00-10-141463,0,0,0,0.0,,,,
00-10-151440,0,0,0,0.0,,,,
00-10-162152,0,0,0,0.06253126563281641,,,,
00-10-173509,0,0,0,0.06253126563281641,,,,
00-10-184042,0,0,0,0.06253126563281641,,,,
00-10-196733,0,0,0,0.06253126563281641,,,,
00-10-207829,0,0,0,0.18759379689844924,,,,
00-10-219466,0,0,0,0.18759379689844924,,,,
00-10-230232,0,0,0,0.18759379689844924,,,,
00-10-240798,0,0,0,0.18759379689844924,,,,
00-10-253441,0,0,0,0.18759379689844924,,,,
00-10-263810,0,0,0,0.18759379689844924,,,,
00-10-275496,0,0,0,0.25012506253126565,,,,
00-10-286279,0,0,0,0.25012506253126565,,,,
00-10-296818,0,0,0,0.25012506253126565,,,,
00-10-307253,0,0,0,0.2876438219109555,,,,
00-10-316791,0,0,0,0.2876438219109555,,,,
00-10-326465,0,0,0,0.2876438219109555,,,,
00-10-336473,0,0,0,0.2876438219109555,,,,
00-10-346873,0,0,0,0.2876438219109555,,,,
00-10-356785,0,0,0,0.2876438219109555,,,,
00-10-368727,0,0,0,0.32516258129064535,,,,
00-10-378325,0,0,0,0.32516258129064535,,,,
00-10-387751,0,0,0,0.32516258129064535,,,,
00-10-397614,0,0,0,0.32516258129064535,,,,
00-10-408151,0,0,0,0.32516258129064535,,,,
00-10-419667,0,0,0,0.3001500750375188,,,,
00-10-429602,0,0,0,0.3001500750375188,,,,
00-10-439387,0,0,0,0.3001500750375188,,,,
00-10-449777,0,0,0,0.3001500750375188,,,,
00-10-461784,0,0,0,0.31265632816408206,,,,
00-10-472158,0,0,0,0.31265632816408206,,,,
00-10-482249,0,0,0,0.31265632816408206,,,,
00-10-492765,0,0,0,0.31265632816408206,,,,
00-10-502700,0,0,0,0.31265632816408206,,,,
00-10-513917,0,0,0,0.2751375687843922,,,,
00-10-524719,0,0,0,0.2751375687843922,,,,
00-10-536364,0,0,0,0.2751375687843922,,,,
00-10-547234,3881,9538,-1.610739827156067,0.2751375687843922,,,,
00-10-558959,3881,9538,-1.610739827156067,0.2751375687843922,,,,
00-10-568718,3881,9538,-1.610739827156067,0.2751375687843922,,,,
00-10-579902,3881,9538,-1.610739827156067,0.3001500750375188,,,,
00-10-591397,3881,9538,-1.610739827156067,0.3001500750375188,,,,
00-10-602333,3881,9538,-1.610739827156067,0.3001500750375188,,,,
00-10-612111,3881,9538,-1.610739827156067,0.3001500750375188,,,,
00-10-621965,3880,9512,-1.6093369722366333,0.3001500750375188,,,,
00-10-631975,3880,9512,-1.6093369722366333,0.2751375687843922,,,,
00-10-641393,3880,9512,-1.6093369722366333,0.2751375687843922,,,,
00-10-652301,3880,9512,-1.6093369722366333,0.2751375687843922,,,,
00-10-661739,3880,9512,-1.6093369722366333,0.2751375687843922,,,,
00-10-671925,3880,9512,-1.6093369722366333,0.2876438219109555,,,,
00-10-681166,3880,9512,-1.6093369722366333,0.2876438219109555,,,,
00-10-693550,3879,9480,-1.6058156490325928,0.2876438219109555,,,,
00-10-703755,3879,9480,-1.6058156490325928,0.2876438219109555,,,,
00-10-713004,3879,9480,-1.6058156490325928,0.2876438219109555,,,,
00-10-722583,3879,9480,-1.6058156490325928,0.3001500750375188,,,,
00-10-733131,3879,9480,-1.6058156490325928,0.3001500750375188,,,,
00-10-742578,3879,9480,-1.6058156490325928,0.3001500750375188,,,,
00-10-753178,3879,9480,-1.6058156490325928,0.3001500750375188,,,,
00-10-764906,3879,9480,-1.6058156490325928,0.3001500750375188,,,,
00-10-775374,3878,9449,-1.6096206903457642,0.3001500750375188,,,,
00-10-785967,3878,9449,-1.6096206903457642,0.2876438219109555,,,,
00-10-796665,3878,9449,-1.6096206903457642,0.2876438219109555,,,,
00-10-807659,3878,9449,-1.6096206903457642,0.2876438219109555,,,,
00-10-817945,3878,9449,-1.6096206903457642,0.2876438219109555,,,,
00-10-828622,3878,9449,-1.6096206903457642,0.2876438219109555,,,,
00-10-838643,3878,9449,-1.6096206903457642,0.3001500750375188,,,,
00-10-850593,3877,9424,-1.6070330142974854,0.3001500750375188,,,,
00-10-861248,3877,9424,-1.6070330142974854,0.3001500750375188,,,,
00-10-871175,3877,9424,-1.6070330142974854,0.2876438219109555,,,,
00-10-880893,3877,9424,-1.6070330142974854,0.2876438219109555,,,,
00-10-891663,3877,9424,-1.6070330142974854,0.2876438219109555,,,,
00-10-902699,3877,9424,-1.6070330142974854,0.2876438219109555,,,,
00-10-912186,3877,9424,-1.6070330142974854,0.2876438219109555,,,,
00-10-922085,3877,9424,-1.6070330142974854,0.31265632816408206,,,,
00-10-931872,3876,9391,-1.6019564867019653,0.31265632816408206,,,,
00-10-943209,3876,9391,-1.6019564867019653,0.31265632816408206,,,,
00-10-953281,3876,9391,-1.6019564867019653,0.31265632816408206,,,,
00-10-965370,3876,9391,-1.6019564867019653,0.31265632816408206,,,,
00-10-975476,3876,9391,-1.6019564867019653,0.2751375687843922,,,,
