time,x,y,theta,speed,mti,mte,dti,dte
00-59-924714,4011,8620,-2.3158512115478516,0.0,,,,
00-59-935526,4011,8620,-2.3158512115478516,0.0,,,,
00-59-945829,4011,8620,-2.3158512115478516,0.0,,,,
00-59-954680,4011,8620,-2.3158512115478516,0.0,,,,
00-59-965672,4011,8620,-2.3165664672851562,0.0,,,,
00-59-975369,4011,8620,-2.3165664672851562,0.0,,,,
00-59-986049,4011,8620,-2.3165664672851562,0.0,,,,
00-59-997248,4011,8620,-2.3165664672851562,0.0,,,,
01-00-007512,4011,8620,-2.3165664672851562,0.0,,,,
01-00-017821,4011,8620,-2.3165664672851562,0.0,,,,
01-00-029489,4011,8620,-2.3165664672851562,0.0,,,,
01-00-040573,4011,8620,-2.3165664672851562,0.0,,,,
01-00-049893,4011,8620,-2.3165664672851562,0.0,,,,
01-00-059810,4011,8620,-2.3165664672851562,0.0,,,,
01-00-069825,4011,8620,-2.316547393798828,0.0,,,,
01-00-079822,4011,8620,-2.316547393798828,0.0,,,,
01-00-089914,4011,8620,-2.316547393798828,0.0,,,,
01-00-100587,4011,8620,-2.316547393798828,0.0,,,,
01-00-110761,4011,8620,-2.316547393798828,0.0,,,,
01-00-119896,4011,8620,-2.316547393798828,0.0,,,,
01-00-130093,4011,8620,-2.316547393798828,0.0,,,,
01-00-141986,4011,8620,-2.316547393798828,0.0,,,,
01-00-152188,4011,8620,-2.316547393798828,0.0,,,,
01-00-162400,4011,8620,-2.316547393798828,0.0,,,,
01-00-173227,4011,8620,-2.3158364295959473,0.0,,,,
01-00-183606,4011,8620,-2.3158364295959473,0.0,,,,
01-00-193803,4011,8620,-2.3158364295959473,0.0,,,,
01-00-206307,4011,8620,-2.3158364295959473,0.0,,,,
01-00-216280,4011,8620,-2.3158364295959473,0.0,,,,
01-00-226811,4011,8620,-2.3158364295959473,0.0,,,,
01-00-237730,4011,8620,-2.3158364295959473,0.0,,,,
01-00-248587,4011,8620,-2.3158364295959473,0.0,,,,
01-00-258921,4011,8620,-2.3158364295959473,0.0,,,,
01-00-270533,4011,8620,-2.316222667694092,0.0,,,,
01-00-281173,4011,8620,-2.316222667694092,0.0,,,,
01-00-293323,4011,8620,-2.316222667694092,0.0,,,,
01-00-304115,4011,8620,-2.316222667694092,0.1375687843921961,,,,
01-00-314841,4011,8620,-2.316222667694092,0.1375687843921961,,,,
01-00-325522,4011,8620,-2.316222667694092,0.1375687843921961,,,,
01-00-336678,4011,8620,-2.316222667694092,0.1375687843921961,,,,
01-00-347578,4011,8620,-2.316222667694092,0.1375687843921961,,,,
01-00-357072,4011,8620,-2.316222667694092,0.1375687843921961,,,,
01-00-366646,4011,8620,-2.316222667694092,0.3501750875437719,,,,
01-00-377202,4011,8620,-2.3169407844543457,0.3501750875437719,,,,
01-00-387903,4011,8620,-2.3169407844543457,0.3501750875437719,,,,
01-00-399694,4011,8620,-2.3169407844543457,0.4252126063031516,,,,
01-00-410989,4011,8620,-2.3169407844543457,0.4252126063031516,,,,
01-00-421529,4011,8620,-2.3169407844543457,0.4252126063031516,,,,
01-00-431769,4011,8620,-2.3169407844543457,0.4252126063031516,,,,
01-00-441945,4011,8620,-2.3169407844543457,0.487743871935968,,,,
01-00-451440,4011,8620,-2.3169407844543457,0.487743871935968,,,,
01-00-461582,4011,8620,-2.3169407844543457,0.487743871935968,,,,
01-00-473791,4006,8616,-2.3166799545288086,0.487743871935968,,,,
01-00-484019,4006,8616,-2.3166799545288086,0.487743871935968,,,,
01-00-493864,4006,8616,-2.3166799545288086,0.487743871935968,,,,
01-00-506449,4006,8616,-2.3166799545288086,0.5252626313156579,,,,
01-00-516214,4006,8616,-2.3166799545288086,0.5252626313156579,,,,
01-00-526546,4006,8616,-2.3166799545288086,0.5252626313156579,,,,
01-00-536163,4006,8616,-2.3166799545288086,0.5252626313156579,,,,
01-00-546913,4006,8616,-2.3166799545288086,0.5252626313156579,,,,
01-00-557628,4006,8616,-2.3166799545288086,0.5252626313156579,,,,
01-00-567836,4006,8616,-2.3166799545288086,0.5252626313156579,,,,
01-00-578212,4006,8616,-2.3166799545288086,0.5127563781890946,,,,
01-00-589320,3976,8591,-2.3525187969207764,0.5127563781890946,,,,
01-00-600338,3976,8591,-2.3525187969207764,0.5127563781890946,,,,
01-00-611548,3976,8591,-2.3525187969207764,0.5252626313156579,,,,
01-00-620811,3976,8591,-2.3525187969207764,0.5252626313156579,,,,
01-00-630622,3976,8591,-2.3525187969207764,0.5252626313156579,,,,
01-00-641873,3976,8591,-2.3525187969207764,0.5252626313156579,,,,
01-00-651196,3976,8591,-2.3525187969207764,0.5252626313156579,,,,
01-00-660978,3976,8591,-2.3525187969207764,0.5252626313156579,,,,
01-00-670412,3976,8591,-2.3525187969207764,0.47523761880940474,,,,
01-00-681332,3944,8561,-2.3700156211853027,0.47523761880940474,,,,
