time,x,y,theta,speed,mti,mte,dti,dte
18-45-242873,1005,9498,-1.5105723142623901,0.0,,,,
18-45-254688,1005,9498,-1.5100834369659424,0.0,,,,
18-45-268502,1005,9498,-1.5100834369659424,0.0,,,,
18-45-281017,1005,9498,-1.5100834369659424,0.0,,,,
18-45-293178,1005,9498,-1.5100834369659424,0.0,,,,
18-45-307287,1005,9498,-1.5100834369659424,0.0,,,,
18-45-320439,1005,9498,-1.5100834369659424,0.0,,,,
18-45-333279,1005,9498,-1.5100834369659424,0.0,,,,
18-45-349165,1005,9498,-1.5100834369659424,0.0,,,,
18-45-361499,1005,9498,-1.510443091392517,0.0,,,,
18-45-373340,1005,9498,-1.510443091392517,0.0,,,,
18-45-385312,1005,9498,-1.510443091392517,0.0,,,,
18-45-396269,1005,9498,-1.510443091392517,0.0,,,,
18-45-408983,1005,9498,-1.510443091392517,0.0,,,,
18-45-421426,1005,9498,-1.510443091392517,0.0,,,,
18-45-435377,1005,9498,-1.510443091392517,0.0,,,,
18-45-446299,1005,9498,-1.510443091392517,0.0,,,,
18-45-460368,1005,9498,-1.5103803873062134,0.0,,,,
18-45-473198,1005,9498,-1.5103803873062134,0.0,,,,
18-45-486787,1005,9498,-1.5103803873062134,0.0,,,,
18-45-500380,1005,9498,-1.5103803873062134,0.0,,,,
18-45-514002,1005,9498,-1.5103803873062134,0.0,,,,
18-45-527680,1005,9498,-1.5103803873062134,0.0,,,,
18-45-540391,1005,9498,-1.5103803873062134,0.0,,,,
18-45-554275,1005,9498,-1.511993646621704,0.1500750375187594,,,,
18-45-566636,1005,9498,-1.511993646621704,0.1500750375187594,,,,
18-45-577972,1005,9498,-1.511993646621704,0.32516258129064535,,,,
18-45-590736,1005,9498,-1.511993646621704,0.32516258129064535,,,,
18-45-603818,1005,9498,-1.511993646621704,0.32516258129064535,,,,
18-45-615549,1005,9498,-1.511993646621704,0.42521260630315155,,,,
18-45-627223,1005,9498,-1.511993646621704,0.42521260630315155,,,,
18-45-638171,1005,9498,-1.511993646621704,0.42521260630315155,,,,
18-45-649192,1005,9498,-1.511993646621704,0.42521260630315155,,,,
18-45-660995,1005,9498,-1.5101289749145508,0.42521260630315155,,,,
18-45-673417,1005,9498,-1.5101289749145508,0.42521260630315155,,,,
18-45-684473,1005,9498,-1.5101289749145508,0.487743871935968,,,,
18-45-695014,1005,9498,-1.5101289749145508,0.487743871935968,,,,
18-45-705212,1005,9498,-1.5101289749145508,0.487743871935968,,,,
18-45-716244,1005,9498,-1.5101289749145508,0.5252626313156579,,,,
18-45-726905,1005,9498,-1.5101289749145508,0.5252626313156579,,,,
18-45-738157,1005,9498,-1.5101289749145508,0.5252626313156579,,,,
18-45-749313,1005,9498,-1.5101289749145508,0.5252626313156579,,,,
18-45-760801,1005,9499,-1.5144587755203247,0.5252626313156579,,,,
18-45-771351,1005,9499,-1.5144587755203247,0.5252626313156579,,,,
18-45-783273,1005,9499,-1.5144587755203247,0.5127563781890946,,,,
18-45-794899,1005,9499,-1.5144587755203247,0.5127563781890946,,,,
18-45-805672,1005,9499,-1.5144587755203247,0.5127563781890946,,,,
18-45-817002,1005,9499,-1.5144587755203247,0.5127563781890946,,,,
18-45-828964,1005,9499,-1.5144587755203247,0.5127563781890946,,,,
18-45-840409,1005,9499,-1.5144587755203247,0.5127563781890946,,,,
18-45-851297,1005,9499,-1.5144587755203247,0.5252626313156579,,,,
18-45-863349,1005,9499,-1.5144587755203247,0.5252626313156579,,,,
18-45-875345,1004,9459,-1.523880958557129,0.5252626313156579,,,,
18-45-886054,1004,9459,-1.523880958557129,0.5252626313156579,,,,
18-45-897035,1004,9459,-1.523880958557129,0.5002501250625313,,,,
18-45-908620,1004,9459,-1.523880958557129,0.5002501250625313,,,,
18-45-920980,1004,9459,-1.523880958557129,0.487743871935968,,,,
18-45-931059,1004,9459,-1.523880958557129,0.487743871935968,,,,
18-45-941459,1004,9459,-1.523880958557129,0.487743871935968,,,,
18-45-954091,1004,9459,-1.523880958557129,0.487743871935968,,,,
18-45-965750,1005,9389,-1.5287153720855713,0.487743871935968,,,,
18-45-976798,1005,9389,-1.5287153720855713,0.487743871935968,,,,
18-45-990738,1005,9389,-1.5287153720855713,0.5002501250625313,,,,
18-46-003338,1005,9389,-1.5287153720855713,0.5002501250625313,,,,
18-46-014033,1005,9389,-1.5287153720855713,0.5002501250625313,,,,
18-46-026359,1005,9389,-1.5287153720855713,0.5002501250625313,,,,
18-46-038017,1005,9389,-1.5287153720855713,0.5002501250625313,,,,
18-46-048832,1005,9389,-1.5287153720855713,0.5002501250625313,,,,
18-46-061540,1005,9389,-1.5287153720855713,0.5002501250625313,,,,
18-46-074324,1003,9306,-1.5325652360916138,0.5002501250625313,,,,
18-46-086225,1003,9306,-1.5325652360916138,0.5002501250625313,,,,
18-46-097621,1003,9306,-1.5325652360916138,0.487743871935968,,,,
18-46-108665,1003,9306,-1.5325652360916138,0.487743871935968,,,,
18-46-120208,1003,9306,-1.5325652360916138,0.487743871935968,,,,
18-46-132129,1003,9306,-1.5325652360916138,0.47523761880940474,,,,
18-46-143965,1003,9306,-1.5325652360916138,0.47523761880940474,,,,
18-46-155481,1003,9306,-1.5325652360916138,0.47523761880940474,,,,
18-46-167255,1001,9240,-1.5374680757522583,0.47523761880940474,,,,
18-46-177735,1001,9240,-1.5374680757522583,0.47523761880940474,,,,
18-46-188305,1001,9240,-1.5374680757522583,0.47523761880940474,,,,
18-46-198577,1001,9240,-1.5374680757522583,0.487743871935968,,,,
18-46-209142,1001,9240,-1.5374680757522583,0.487743871935968,,,,
18-46-221332,1001,9240,-1.5374680757522583,0.487743871935968,,,,
18-46-234095,1001,9240,-1.5374680757522583,0.487743871935968,,,,
18-46-245857,1001,9240,-1.5374680757522583,0.487743871935968,,,,
18-46-258828,1001,9240,-1.5374680757522583,0.487743871935968,,,,
18-46-271007,1001,9240,-1.5374680757522583,0.487743871935968,,,,
18-46-283433,999,9164,-1.5429929494857788,0.487743871935968,,,,
18-46-295647,999,9164,-1.5429929494857788,0.487743871935968,,,,
18-46-307210,999,9164,-1.5429929494857788,0.487743871935968,,,,
18-46-319247,999,9164,-1.5429929494857788,0.487743871935968,,,,
18-46-331547,999,9164,-1.5429929494857788,0.487743871935968,,,,
