time,x,y,theta,speed,mti,mte,dti,dte
14-00-190824,5008,8883,-3.1149344444274902,0.0,,,,
14-00-202695,5008,8883,-3.1149344444274902,0.0,,,,
14-00-211983,5008,8883,-3.1149344444274902,0.0,,,,
14-00-224422,5008,8883,-3.1149344444274902,0.0,,,,
14-00-238184,5008,8883,-3.1149344444274902,0.0,,,,
14-00-247752,5008,8883,-3.1150436401367188,0.0,,,,
14-00-258665,5008,8883,-3.1150436401367188,0.0,,,,
14-00-270673,5008,8883,-3.1150436401367188,0.0,,,,
14-00-282894,5008,8883,-3.1150436401367188,0.0,,,,
14-00-295324,5008,8883,-3.1150436401367188,0.0,,,,
14-00-309087,5008,8883,-3.1150436401367188,0.0,,,,
14-00-320334,5008,8883,-3.1150436401367188,0.0,,,,
14-00-333297,5008,8883,-3.1146867275238037,0.0,,,,
14-00-345046,5008,8883,-3.1146867275238037,0.0,,,,
14-00-356940,5008,8883,-3.1146867275238037,0.0,,,,
14-00-367689,5008,8883,-3.1146867275238037,0.0,,,,
14-00-379833,5008,8883,-3.1146867275238037,0.0,,,,
14-00-390617,5008,8883,-3.1146867275238037,0.0,,,,
14-00-400543,5008,8883,-3.1146867275238037,0.0,,,,
14-00-412184,5008,8883,-3.114330768585205,0.0,,,,
14-00-422932,5008,8883,-3.114330768585205,0.0,,,,
14-00-435066,5008,8883,-3.114330768585205,0.0,,,,
14-00-447122,5008,8883,-3.114330768585205,0.0,,,,
14-00-459673,5008,8883,-3.114330768585205,0.0,,,,
14-00-471372,5008,8883,-3.114330768585205,0.0,,,,
14-00-483465,5008,8883,-3.114330768585205,0.0,,,,
14-00-493975,5008,8883,-3.1147196292877197,0.0,,,,
14-00-504595,5008,8883,-3.1147196292877197,0.0,,,,
14-00-515557,5008,8883,-3.1147196292877197,0.0,,,,
14-00-525589,5008,8883,-3.1147196292877197,0.0,,,,
14-00-536961,5008,8883,-3.1147196292877197,0.16258129064532267,,,,
14-00-548899,5008,8883,-3.1147196292877197,0.16258129064532267,,,,
14-00-560339,5008,8883,-3.1147196292877197,0.16258129064532267,,,,
14-00-575881,5008,8883,-3.1150684356689453,0.16258129064532267,,,,
14-00-586018,5008,8883,-3.1150684356689453,0.16258129064532267,,,,
14-00-595704,5008,8883,-3.1150684356689453,0.3626813406703352,,,,
14-00-607516,5008,8883,-3.1150684356689453,0.3626813406703352,,,,
14-00-618434,5008,8883,-3.1150684356689453,0.3626813406703352,,,,
14-00-631294,5008,8883,-3.1150684356689453,0.3626813406703352,,,,
14-00-642996,5008,8883,-3.115393877029419,0.400200100050025,,,,
14-00-654065,5008,8883,-3.115393877029419,0.400200100050025,,,,
14-00-664534,5008,8883,-3.115393877029419,0.400200100050025,,,,
14-00-675105,5008,8883,-3.115393877029419,0.400200100050025,,,,
14-00-685584,5008,8883,-3.115393877029419,0.400200100050025,,,,
14-00-696349,5008,8883,-3.115393877029419,0.5002501250625313,,,,
14-00-707555,5008,8883,-3.115393877029419,0.5002501250625313,,,,
14-00-718479,4992,8882,-3.1086983680725098,0.5002501250625313,,,,
14-00-730146,4992,8882,-3.1086983680725098,0.5002501250625313,,,,
14-00-741447,4992,8882,-3.1086983680725098,0.5127563781890946,,,,
14-00-751619,4992,8882,-3.1086983680725098,0.5127563781890946,,,,
14-00-762249,4992,8882,-3.1086983680725098,0.5127563781890946,,,,
14-00-774528,4992,8882,-3.1086983680725098,0.5127563781890946,,,,
14-00-786122,4992,8882,-3.1086983680725098,0.5127563781890946,,,,
14-00-796310,4951,8883,-3.0988717079162598,0.5127563781890946,,,,
14-00-807289,4951,8883,-3.0988717079162598,0.5127563781890946,,,,
14-00-817940,4951,8883,-3.0988717079162598,0.5127563781890946,,,,
14-00-828107,4951,8883,-3.0988717079162598,0.5127563781890946,,,,
14-00-839240,4951,8883,-3.0988717079162598,0.5252626313156579,,,,
14-00-849175,4951,8883,-3.0988717079162598,0.5252626313156579,,,,
14-00-858962,4951,8883,-3.0988717079162598,0.5252626313156579,,,,
14-00-870469,4911,8884,-3.097886562347412,0.5252626313156579,,,,
14-00-881510,4911,8884,-3.097886562347412,0.5252626313156579,,,,
14-00-892854,4911,8884,-3.097886562347412,0.5252626313156579,,,,
14-00-903078,4911,8884,-3.097886562347412,0.5002501250625313,,,,
14-00-915063,4911,8884,-3.097886562347412,0.5002501250625313,,,,
14-00-927651,4911,8884,-3.097886562347412,0.5002501250625313,,,,
14-00-938508,4911,8884,-3.097886562347412,0.5002501250625313,,,,
14-00-948504,4867,8881,-3.0842490196228027,0.487743871935968,,,,
14-00-958721,4867,8881,-3.0842490196228027,0.487743871935968,,,,
14-00-969836,4867,8881,-3.0842490196228027,0.487743871935968,,,,
14-00-979727,4867,8881,-3.0842490196228027,0.487743871935968,,,,
14-00-990677,4867,8881,-3.0842490196228027,0.487743871935968,,,,
14-01-002036,4867,8881,-3.0842490196228027,0.5002501250625313,,,,
14-01-013853,4867,8881,-3.0842490196228027,0.5002501250625313,,,,
14-01-026761,4820,8878,-3.0699663162231445,0.5002501250625313,,,,
14-01-038404,4820,8878,-3.0699663162231445,0.5002501250625313,,,,
14-01-048064,4820,8878,-3.0699663162231445,0.5002501250625313,,,,
14-01-058645,4820,8878,-3.0699663162231445,0.5002501250625313,,,,
14-01-068952,4820,8878,-3.0699663162231445,0.5002501250625313,,,,
14-01-078989,4820,8878,-3.0699663162231445,0.5002501250625313,,,,
14-01-090405,4820,8878,-3.0699663162231445,0.5002501250625313,,,,
14-01-101866,4820,8878,-3.0699663162231445,0.5002501250625313,,,,
14-01-112938,4773,8875,-3.054537296295166,0.5002501250625313,,,,
14-01-125515,4773,8875,-3.054537296295166,0.5002501250625313,,,,
14-01-137487,4773,8875,-3.054537296295166,0.5002501250625313,,,,
14-01-146996,4773,8875,-3.054537296295166,0.5002501250625313,,,,
14-01-157244,4773,8875,-3.054537296295166,0.5002501250625313,,,,
