time,tag,camera,x,y
1639758451.679,5,2,0.568,6.509
1639758451.676,4,1,2.188,8.162
1639758451.714,5,2,0.568,6.509
1639758451.745,5,2,0.568,6.509
1639758451.734,4,1,2.188,8.162
1639758451.779,5,2,0.568,6.509
1639758451.815,5,2,0.568,6.509
1639758451.804,4,1,2.188,8.162
1639758451.846,5,2,0.568,6.509
1639758451.881,5,2,0.568,6.509
1639758451.874,4,1,2.188,8.162
1639758451.913,5,2,0.567,6.509
1639758451.949,5,2,0.57,6.509
1639758451.935,4,1,2.188,8.162
1639758451.984,5,2,0.575,6.509
1639758452.017,5,2,0.58,6.508
1639758452.004,4,1,2.188,8.162
1639758452.052,5,2,0.587,6.509
1639758452.083,5,2,0.595,6.508
1639758452.073,4,1,2.188,8.162
1639758452.118,5,2,0.605,6.508
1639758452.154,5,2,0.615,6.508
1639758452.145,4,1,2.188,8.162
1639758452.187,5,2,0.624,6.509
1639758452.222,5,2,0.642,6.509
1639758452.212,4,1,2.188,8.162
1639758452.259,5,2,0.65,6.509
1639758452.29,5,2,0.658,6.51
1639758452.28,4,1,2.188,8.154
1639758452.326,5,2,0.666,6.51
1639758452.359,5,2,0.674,6.509
1639758452.394,5,2,0.682,6.508
1639758452.429,5,2,0.69,6.509
1639758452.46,5,2,0.699,6.507
1639758452.427,4,1,2.188,8.125
1639758452.496,5,2,0.707,6.506
1639758452.528,5,2,0.716,6.506
1639758452.564,5,2,0.725,6.506
1639758452.597,5,2,0.734,6.505
1639758452.633,5,2,0.743,6.505
1639758452.665,5,2,0.751,6.505
1639758452.644,4,1,2.188,8.066
1639758452.699,5,2,0.76,6.504
1639758452.735,5,2,0.769,6.505
1639758452.717,4,1,2.188,8.049
1639758452.767,5,2,0.777,6.505
1639758452.803,5,2,0.785,6.506
1639758452.789,4,1,2.188,8.032
1639758452.834,5,2,0.794,6.506
1639758452.869,5,2,0.803,6.505
1639758452.864,4,1,2.188,8.015
1639758452.902,5,2,0.812,6.507
1639758452.935,5,2,0.82,6.506
1639758452.931,4,1,2.189,7.997
1639758452.968,5,2,0.828,6.507
1639758453.002,5,2,0.837,6.507
1639758452.995,4,1,2.189,7.971
1639758453.038,5,2,0.845,6.507
1639758453.071,5,2,0.853,6.507
1639758453.06,4,1,2.189,7.954
1639758453.104,5,2,0.862,6.507
1639758453.14,5,2,0.869,6.506
1639758453.121,4,1,2.19,7.937
1639758453.171,5,2,0.878,6.507
1639758453.206,5,2,0.886,6.507
1639758453.195,4,1,2.19,7.92
1639758453.238,5,2,0.895,6.507
1639758453.271,5,2,0.903,6.506
1639758453.257,4,1,2.191,7.911
1639758453.303,5,2,0.91,6.507
1639758453.337,5,2,0.917,6.507
1639758453.332,4,1,2.191,7.885
1639758453.369,5,2,0.925,6.507
1639758453.404,5,2,0.933,6.507
1639758453.396,4,1,2.193,7.869
1639758453.44,5,2,0.942,6.507
1639758453.472,5,2,0.951,6.507
1639758453.462,4,1,2.194,7.854
1639758453.507,5,2,0.959,6.507
1639758453.539,5,2,0.969,6.506
1639758453.574,5,2,0.978,6.507
1639758453.528,4,1,2.195,7.838
1639758453.605,5,2,0.988,6.507
1639758453.64,5,2,0.997,6.507
1639758453.608,4,1,2.195,7.822
1639758453.673,5,2,1.006,6.507
1639758453.707,5,2,1.014,6.508
1639758453.679,4,1,2.195,7.803
1639758453.74,5,2,1.021,6.507
1639758453.742,4,1,2.195,7.786
1639758453.774,5,2,1.027,6.507
1639758453.81,5,2,1.035,6.508
1639758453.798,4,1,2.196,7.769
1639758453.841,5,2,1.042,6.507
1639758453.877,5,2,1.05,6.508
1639758453.864,4,1,2.196,7.752
1639758453.908,5,2,1.058,6.507
1639758453.941,5,2,1.067,6.507
1639758453.934,4,1,2.197,7.735
1639758453.974,5,2,1.076,6.508
1639758454.007,5,2,1.084,6.508
1639758454.041,5,2,1.093,6.508
1639758454.002,4,1,2.197,7.717
1639758454.077,5,2,1.101,6.509
1639758454.109,5,2,1.109,6.508
1639758454.078,4,1,2.197,7.701
1639758454.144,5,2,1.118,6.507
1639758454.177,5,2,1.125,6.507
1639758454.159,4,1,2.198,7.685
1639758454.211,5,2,1.134,6.507
1639758454.244,5,2,1.143,6.506
1639758454.278,5,2,1.151,6.506
1639758454.24,4,1,2.198,7.67
1639758454.31,5,2,1.159,6.506
1639758454.344,5,2,1.168,6.505
1639758454.319,4,1,2.198,7.644
1639758454.377,5,2,1.177,6.504
1639758454.41,5,2,1.184,6.504
1639758454.377,4,1,2.198,7.627
1639758454.443,5,2,1.193,6.505
1639758454.454,4,1,2.199,7.61
1639758454.475,5,2,1.202,6.504
1639758454.509,5,2,1.21,6.505
1639758454.54,5,2,1.217,6.504
1639758454.508,4,1,2.199,7.593
1639758454.575,5,2,1.227,6.505
1639758454.606,5,2,1.235,6.505
1639758454.575,4,1,2.2,7.576
1639758454.64,5,2,1.243,6.505
1639758454.675,5,2,1.251,6.505
1639758454.657,4,1,2.201,7.559
1639758454.707,5,2,1.259,6.505
1639758454.741,5,2,1.266,6.506
1639758454.722,4,1,2.201,7.542
1639758454.774,5,2,1.275,6.507
1639758454.809,5,2,1.283,6.507
1639758454.793,4,1,2.201,7.516
1639758454.841,5,2,1.292,6.508
1639758454.844,4,1,2.201,7.507
1639758454.875,5,2,1.3,6.507
1639758454.907,5,2,1.309,6.507
1639758454.903,4,1,2.202,7.482
1639758454.941,5,2,1.316,6.507
1639758454.973,5,2,1.324,6.507
1639758454.965,4,1,2.202,7.473
1639758455.008,5,2,1.333,6.507
1639758455.04,5,2,1.34,6.507
1639758455.074,5,2,1.349,6.507
1639758455.033,4,1,2.203,7.457
1639758455.107,5,2,1.358,6.506
1639758455.116,4,1,2.204,7.44
1639758455.141,5,2,1.366,6.507
1639758455.173,5,2,1.374,6.507
1639758455.207,5,2,1.383,6.507
1639758455.172,4,1,2.205,7.424
1639758455.238,5,2,1.392,6.506
1639758455.272,5,2,1.4,6.507
1639758455.244,4,1,2.206,7.41
1639758455.305,5,2,1.409,6.507
1639758455.308,4,1,2.206,7.393
1639758455.338,5,2,1.418,6.508
1639758455.371,5,2,1.428,6.508
1639758455.37,4,1,2.207,7.376
1639758455.405,5,2,1.438,6.508
1639758455.44,5,2,1.446,6.508
1639758455.433,4,1,2.206,7.358
1639758455.472,5,2,1.454,6.508
1639758455.508,5,2,1.462,6.508
1639758455.484,4,1,2.207,7.341
1639758455.541,5,2,1.469,6.508
1639758455.574,5,2,1.466,6.508
1639758455.552,4,1,2.207,7.323
1639758455.61,5,2,1.464,6.509
1639758455.643,5,2,1.463,6.508
1639758455.616,4,1,2.208,7.315
1639758455.677,5,2,1.463,6.509
1639758455.709,5,2,1.463,6.508
1639758455.7,4,1,2.208,7.297
1639758455.743,5,2,1.463,6.508
1639758455.776,5,2,1.463,6.509
1639758455.809,5,2,1.463,6.509
1639758455.768,4,1,2.21,7.279
1639758455.84,5,2,1.463,6.508
1639758455.875,5,2,1.463,6.509
1639758455.844,4,1,2.211,7.254
1639758455.907,5,2,1.463,6.509
1639758455.941,5,2,1.463,6.509
1639758455.926,4,1,2.211,7.239
1639758455.974,5,2,1.463,6.508
1639758456.008,5,2,1.463,6.508
1639758455.999,4,1,2.211,7.222
1639758456.04,5,2,1.463,6.508
1639758456.074,5,2,1.463,6.508
1639758456.107,5,2,1.463,6.509
1639758456.068,4,1,2.212,7.196
1639758456.141,5,2,1.463,6.508
1639758456.173,5,2,1.463,6.508
1639758456.148,4,1,2.213,7.179
1639758456.206,5,2,1.463,6.508
1639758456.238,5,2,1.463,6.509
1639758456.231,4,1,2.214,7.161
1639758456.273,5,2,1.463,6.509
1639758456.305,5,2,1.463,6.509
1639758456.288,4,1,2.214,7.143
1639758456.339,5,2,1.463,6.509
1639758456.375,5,2,1.463,6.509
1639758456.406,5,2,1.463,6.509
1639758456.362,4,1,2.215,7.117
1639758456.442,5,2,1.463,6.509
1639758456.472,5,2,1.463,6.509
1639758456.446,4,1,2.217,7.1
1639758456.508,5,2,1.463,6.509
1639758456.539,5,2,1.463,6.508
1639758456.518,4,1,2.217,7.082
1639758456.575,5,2,1.463,6.508
1639758456.606,5,2,1.463,6.509
1639758456.577,4,1,2.218,7.065
1639758456.641,5,2,1.463,6.508
1639758456.65,4,1,2.219,7.048
1639758456.673,5,2,1.463,6.509
1639758456.708,4,2,2.239,6.991
1639758456.708,5,2,1.463,6.509
1639758456.697,4,1,2.22,7.03
1639758456.741,4,2,2.24,6.983
1639758456.741,5,2,1.463,6.509
1639758456.775,4,2,2.24,6.975
1639758456.775,5,2,1.463,6.508
1639758456.766,4,1,2.221,7.013
1639758456.81,4,2,2.242,6.965
1639758456.81,5,2,1.463,6.508
1639758456.842,4,2,2.242,6.958
1639758456.842,5,2,1.463,6.508
1639758456.831,4,1,2.222,6.996
1639758456.877,4,2,2.243,6.95
1639758456.877,5,2,1.463,6.508
1639758456.912,4,2,2.244,6.942
1639758456.912,5,2,1.463,6.508
1639758456.943,4,2,2.245,6.934
1639758456.943,5,2,1.463,6.508
1639758456.909,4,1,2.223,6.981
1639758456.978,4,2,2.245,6.927
1639758456.978,5,2,1.463,6.508
1639758457.012,4,2,2.246,6.918
1639758457.012,5,2,1.463,6.509
1639758456.997,4,1,2.225,6.966
1639758457.046,4,2,2.245,6.91
1639758457.046,5,2,1.463,6.508
1639758457.078,4,2,2.246,6.902
1639758457.078,5,2,1.463,6.508
1639758457.112,4,2,2.246,6.893
1639758457.112,5,2,1.463,6.508
1639758457.149,4,2,2.246,6.884
1639758457.149,5,2,1.463,6.509
1639758457.181,4,2,2.246,6.876
1639758457.181,5,2,1.463,6.509
