time,tag,camera,x,y
1642260630545,4,0,2.175,4.871
1642260630565,4,2,2.202,4.83
1642260630565,5,2,3.822,6.5
1642260630592,4,0,2.175,4.871
1642260630613,4,2,2.202,4.83
1642260630613,5,2,3.822,6.5
1642260630646,4,0,2.175,4.871
1642260630662,4,2,2.202,4.831
1642260630662,5,2,3.822,6.5
1642260630693,4,0,2.175,4.871
1642260630711,4,2,2.202,4.831
1642260630711,5,2,3.822,6.5
1642260630747,4,0,2.175,4.871
1642260630763,4,2,2.202,4.831
1642260630763,5,2,3.822,6.5
1642260630792,4,0,2.175,4.871
1642260630842,4,0,2.175,4.871
1642260630827,4,2,2.202,4.83
1642260630827,5,2,3.822,6.5
1642260630882,4,0,2.175,4.871
1642260630889,4,2,2.202,4.831
1642260630889,5,2,3.822,6.5
1642260630925,4,0,2.175,4.871
1642260630937,4,2,2.202,4.83
1642260630937,5,2,3.822,6.5
1642260630971,4,0,2.175,4.871
1642260630986,4,2,2.202,4.831
1642260630986,5,2,3.822,6.5
1642260631017,4,0,2.175,4.871
1642260631048,4,2,2.202,4.831
1642260631048,5,2,3.822,6.5
1642260631071,4,0,2.175,4.871
1642260631117,4,0,2.175,4.871
1642260631111,4,2,2.202,4.831
1642260631111,5,2,3.822,6.5
1642260631169,4,0,2.175,4.871
1642260631171,4,2,2.203,4.831
1642260631171,5,2,3.822,6.5
1642260631213,4,0,2.175,4.871
1642260631231,4,2,2.202,4.831
1642260631231,5,2,3.815,6.5
1642260631265,4,0,2.175,4.872
1642260631286,4,2,2.203,4.832
1642260631286,5,2,3.802,6.5
1642260631308,4,0,2.175,4.88
1642260631350,4,0,2.175,4.886
1642260631335,4,2,2.202,4.841
1642260631335,5,2,3.79,6.5
1642260631395,4,0,2.175,4.9
1642260631398,4,2,2.202,4.854
1642260631398,5,2,3.778,6.501
1642260631440,4,0,2.175,4.907
1642260631446,4,2,2.202,4.861
1642260631446,5,2,3.77,6.5
1642260631494,4,2,2.202,4.877
1642260631494,5,2,3.757,6.5
1642260631487,4,0,2.175,4.915
1642260631547,4,0,2.175,4.922
1642260631547,4,2,2.201,4.883
1642260631547,5,2,3.752,6.5
1642260631620,4,2,2.201,4.896
1642260631620,5,2,3.737,6.5
1642260631685,4,2,2.2,4.903
1642260631685,5,2,3.731,6.5
1642260631755,4,2,2.2,4.923
1642260631755,5,2,3.712,6.499
1642260631818,4,2,2.199,4.938
1642260631818,5,2,3.7,6.499
1642260631866,4,2,2.2,4.951
1642260631866,5,2,3.69,6.499
1642260631920,4,2,2.2,4.964
1642260631920,5,2,3.679,6.499
1642260631986,4,2,2.2,4.972
1642260631986,5,2,3.674,6.498
1642260632052,4,2,2.2,4.985
1642260632052,5,2,3.662,6.498
1642260632114,4,2,2.199,4.997
1642260632114,5,2,3.649,6.497
1642260632162,4,2,2.2,5.004
1642260632162,5,2,3.641,6.497
1642260632229,4,2,2.2,5.018
1642260632229,5,2,3.628,6.498
1642260632278,4,2,2.2,5.031
1642260632278,5,2,3.616,6.497
1642260632326,4,2,2.199,5.044
1642260632326,5,2,3.602,6.497
1642260632376,4,2,2.199,5.051
1642260632376,5,2,3.595,6.498
1642260632437,4,2,2.199,5.064
1642260632437,5,2,3.582,6.497
1642260632506,4,2,2.198,5.069
1642260632506,5,2,3.575,6.497
1642260632577,4,2,2.197,5.081
1642260632577,5,2,3.562,6.496
1642260632625,4,2,2.197,5.094
1642260632625,5,2,3.549,6.496
1642260632687,4,2,2.197,5.109
1642260632687,5,2,3.536,6.496
1642260632752,4,2,2.197,5.124
1642260632752,5,2,3.523,6.496
1642260632814,4,2,2.197,5.138
1642260632814,5,2,3.508,6.496
1642260632886,4,2,2.197,5.151
1642260632886,5,2,3.495,6.496
1642260632946,4,2,2.197,5.159
1642260632946,5,2,3.489,6.497
1642260632994,4,2,2.198,5.18
1642260632994,5,2,3.471,6.496
1642260633041,4,2,2.197,5.186
