time,tag,camera,x,y
1639758586.943,5,2,3.819,6.47
1639758586.977,5,2,3.819,6.47
1639758586.961,4,0,2.166,4.863
1639758587.011,5,2,3.819,6.47
1639758587.046,5,2,3.819,6.47
1639758587.024,4,0,2.166,4.863
1639758587.08,5,2,3.819,6.47
1639758587.082,4,0,2.166,4.863
1639758587.115,5,2,3.819,6.47
1639758587.147,5,2,3.819,6.47
1639758587.131,4,0,2.166,4.863
1639758587.182,5,2,3.819,6.47
1639758587.188,4,0,2.166,4.863
1639758587.217,5,2,3.819,6.47
1639758587.25,5,2,3.819,6.47
1639758587.24,4,0,2.166,4.863
1639758587.283,5,2,3.819,6.47
1639758587.316,5,2,3.819,6.47
1639758587.288,4,0,2.166,4.863
1639758587.351,5,2,3.819,6.47
1639758587.355,4,0,2.166,4.863
1639758587.384,5,2,3.819,6.47
1639758587.419,5,2,3.819,6.47
1639758587.405,4,0,2.166,4.863
1639758587.453,4,2,2.191,4.827
1639758587.453,5,2,3.819,6.47
1639758587.487,4,2,2.192,4.832
1639758587.487,5,2,3.819,6.47
1639758587.455,4,0,2.166,4.865
1639758587.521,4,2,2.192,4.838
1639758587.521,5,2,3.819,6.47
1639758587.556,4,2,2.192,4.854
1639758587.556,5,2,3.819,6.47
1639758587.525,4,0,2.166,4.875
1639758587.59,4,2,2.192,4.861
1639758587.59,5,2,3.819,6.47
1639758587.623,4,2,2.192,4.869
1639758587.623,5,2,3.819,6.47
1639758587.59,4,0,2.165,4.89
1639758587.656,4,2,2.192,4.879
1639758587.656,5,2,3.82,6.47
1639758587.69,4,2,2.192,4.887
1639758587.69,5,2,3.816,6.469
1639758587.665,4,0,2.166,4.905
1639758587.724,4,2,2.192,4.895
1639758587.724,5,2,3.813,6.471
1639758587.731,4,0,2.166,4.922
1639758587.757,4,2,2.192,4.904
1639758587.757,5,2,3.806,6.471
1639758587.791,4,2,2.192,4.912
1639758587.791,5,2,3.799,6.472
1639758587.824,4,2,2.191,4.92
1639758587.824,5,2,3.79,6.472
1639758587.859,4,2,2.192,4.928
1639758587.859,5,2,3.781,6.471
1639758587.893,4,2,2.191,4.937
1639758587.893,5,2,3.771,6.471
1639758587.929,4,2,2.192,4.945
1639758587.929,5,2,3.762,6.471
1639758587.962,4,2,2.191,4.953
1639758587.962,5,2,3.753,6.471
1639758587.996,4,2,2.191,4.962
1639758587.996,5,2,3.744,6.47
1639758588.031,4,2,2.191,4.971
1639758588.031,5,2,3.735,6.47
1639758588.065,4,2,2.19,4.979
1639758588.065,5,2,3.727,6.47
1639758588.097,4,2,2.19,4.987
1639758588.097,5,2,3.72,6.47
1639758588.131,4,2,2.19,4.997
1639758588.131,5,2,3.712,6.47
1639758588.163,4,2,2.189,5.004
1639758588.163,5,2,3.705,6.47
