time,tag,camera,x,y
1642260434380,4,0,2.206,4.895
1642260434422,4,2,2.233,4.856
1642260434422,5,2,3.821,6.459
1642260434456,4,2,2.233,4.856
1642260434456,5,2,3.821,6.459
1642260434444,4,0,2.206,4.896
1642260434492,4,2,2.233,4.856
1642260434492,5,2,3.821,6.459
1642260434527,4,2,2.233,4.856
1642260434527,5,2,3.821,6.459
1642260434505,4,0,2.207,4.896
1642260434563,4,2,2.233,4.856
1642260434563,5,2,3.821,6.459
1642260434566,4,0,2.206,4.896
1642260434599,4,2,2.233,4.856
1642260434599,5,2,3.821,6.459
1642260434634,4,2,2.233,4.856
1642260434634,5,2,3.821,6.459
1642260434631,4,0,2.207,4.896
1642260434669,4,2,2.233,4.856
1642260434669,5,2,3.821,6.459
1642260434704,4,2,2.233,4.856
1642260434704,5,2,3.821,6.459
1642260434700,4,0,2.206,4.896
1642260434740,4,2,2.233,4.856
1642260434740,5,2,3.821,6.459
1642260434775,4,2,2.233,4.856
1642260434775,5,2,3.821,6.459
1642260434767,4,0,2.207,4.896
1642260434809,4,2,2.233,4.856
1642260434809,5,2,3.821,6.459
1642260434844,4,2,2.233,4.856
1642260434844,5,2,3.821,6.459
1642260434829,4,0,2.206,4.896
1642260434881,4,2,2.233,4.856
1642260434881,5,2,3.821,6.459
1642260434916,4,2,2.233,4.856
1642260434916,5,2,3.821,6.459
1642260434892,4,0,2.206,4.896
1642260434951,4,2,2.233,4.856
1642260434951,5,2,3.821,6.459
1642260434956,4,0,2.206,4.896
1642260434986,4,2,2.233,4.856
1642260434986,5,2,3.821,6.459
1642260435022,4,2,2.233,4.856
1642260435022,5,2,3.821,6.459
1642260435019,4,0,2.207,4.896
1642260435058,4,2,2.233,4.856
1642260435058,5,2,3.821,6.459
1642260435094,4,2,2.233,4.856
1642260435094,5,2,3.821,6.459
1642260435084,4,0,2.207,4.896
1642260435128,4,2,2.233,4.856
1642260435128,5,2,3.821,6.459
1642260435164,4,2,2.233,4.856
1642260435164,5,2,3.821,6.459
1642260435144,4,0,2.206,4.896
1642260435199,4,2,2.233,4.856
1642260435199,5,2,3.821,6.459
1642260435206,4,0,2.206,4.896
1642260435233,4,2,2.233,4.856
1642260435233,5,2,3.821,6.459
1642260435269,4,2,2.233,4.856
1642260435269,5,2,3.821,6.459
1642260435267,4,0,2.206,4.896
