time,tag,camera,x,y
1639758884.245,4,0,2.162,4.903
1639758884.256,4,2,2.189,4.861
1639758884.256,5,2,3.822,6.491
1639758884.323,4,2,2.189,4.861
1639758884.323,5,2,3.822,6.491
1639758884.313,4,0,2.162,4.903
1639758884.383,4,2,2.189,4.861
1639758884.383,5,2,3.822,6.491
1639758884.395,4,0,2.162,4.903
1639758884.439,4,2,2.189,4.86
1639758884.439,5,2,3.822,6.491
1639758884.465,4,0,2.162,4.903
1639758884.501,4,2,2.189,4.861
1639758884.501,5,2,3.822,6.491
1639758884.514,4,0,2.162,4.903
1639758884.559,4,0,2.162,4.903
1639758884.55,4,2,2.189,4.861
1639758884.55,5,2,3.822,6.491
1639758884.618,4,2,2.189,4.861
1639758884.618,5,2,3.822,6.491
1639758884.612,4,0,2.162,4.903
1639758884.68,4,0,2.162,4.903
1639758884.667,4,2,2.189,4.861
1639758884.667,5,2,3.822,6.491
1639758884.74,4,2,2.189,4.861
1639758884.74,5,2,3.822,6.491
1639758884.736,4,0,2.162,4.903
1639758884.804,4,2,2.189,4.861
1639758884.804,5,2,3.822,6.491
1639758884.81,4,0,2.162,4.903
1639758884.871,4,2,2.189,4.86
1639758884.871,5,2,3.822,6.491
1639758884.873,4,0,2.162,4.903
1639758884.932,4,2,2.189,4.861
1639758884.932,5,2,3.818,6.491
1639758884.952,4,0,2.162,4.903
1639758884.996,4,2,2.189,4.868
1639758884.996,5,2,3.808,6.492
1639758885.028,4,0,2.162,4.91
1639758885.059,4,2,2.189,4.879
1639758885.059,5,2,3.792,6.492
1639758885.118,4,2,2.189,4.885
1639758885.118,5,2,3.785,6.493
1639758885.102,4,0,2.162,4.922
1639758885.167,4,2,2.189,4.902
1639758885.167,5,2,3.768,6.493
1639758885.227,4,2,2.189,4.919
1639758885.227,5,2,3.752,6.493
1639758885.283,4,2,2.189,4.938
1639758885.283,5,2,3.737,6.492
1639758885.339,4,2,2.189,4.945
1639758885.339,5,2,3.729,6.492
1639758885.403,4,2,2.189,4.963
1639758885.403,5,2,3.713,6.491
1639758885.461,4,2,2.189,4.979
1639758885.461,5,2,3.698,6.491
1639758885.512,4,2,2.189,4.997
1639758885.512,5,2,3.681,6.492
1639758885.576,4,2,2.189,5.006
1639758885.576,5,2,3.673,6.492
1639758885.641,4,2,2.189,5.022
1639758885.641,5,2,3.655,6.491
1639758885.691,4,2,2.188,5.039
1639758885.691,5,2,3.639,6.491
1639758885.747,4,2,2.188,5.056
1639758885.747,5,2,3.624,6.49
1639758885.806,4,2,2.188,5.065
1639758885.806,5,2,3.617,6.49
1639758885.856,4,2,2.188,5.081
1639758885.856,5,2,3.602,6.49
1639758885.921,4,2,2.187,5.096
1639758885.921,5,2,3.586,6.49
1639758885.985,4,2,2.188,5.104
1639758885.985,5,2,3.578,6.489
1639758886.05,4,2,2.188,5.122
1639758886.05,5,2,3.561,6.489
1639758886.102,4,2,2.188,5.14
1639758886.102,5,2,3.545,6.488
1639758886.176,4,2,2.188,5.159
1639758886.176,5,2,3.528,6.488
1639758886.241,4,2,2.188,5.176
1639758886.241,5,2,3.514,6.488
1639758886.306,4,2,2.188,5.195
1639758886.306,5,2,3.496,6.487
1639758886.355,4,2,2.188,5.211
1639758886.355,5,2,3.48,6.488
1639758886.421,4,2,2.187,5.227
1639758886.421,5,2,3.463,6.487
1639758886.473,4,2,2.187,5.234
1639758886.473,5,2,3.454,6.486
1639758886.523,4,2,2.187,5.251
1639758886.523,5,2,3.437,6.486
1639758886.586,4,2,2.187,5.267
1639758886.586,5,2,3.419,6.485
1639758886.638,4,2,2.188,5.276
1639758886.638,5,2,3.41,6.484
1639758886.688,4,2,2.188,5.292
1639758886.688,5,2,3.394,6.484
1639758886.753,4,2,2.188,5.309
1639758886.753,5,2,3.381,6.485
1639758886.824,4,2,2.187,5.316
1639758886.824,5,2,3.375,6.485
1639758886.887,4,2,2.187,5.333
1639758886.887,5,2,3.359,6.485
1639758886.949,4,2,2.188,5.351
1639758886.949,5,2,3.343,6.485
1639758887.012,4,2,2.187,5.369
1639758887.012,5,2,3.328,6.485
1639758887.075,4,2,2.187,5.386
1639758887.075,5,2,3.311,6.484
1639758887.134,4,2,2.186,5.401
1639758887.134,5,2,3.296,6.483
1639758887.186,4,2,2.187,5.419
1639758887.186,5,2,3.279,6.483
1639758887.237,4,2,2.187,5.437
1639758887.237,5,2,3.262,6.484
1639758887.287,4,2,2.187,5.445
1639758887.287,5,2,3.253,6.483
1639758887.359,4,2,2.187,5.461
1639758887.359,5,2,3.236,6.483
1639758887.424,4,2,2.186,5.47
1639758887.424,5,2,3.227,6.483
1639758887.498,4,2,2.186,5.486
1639758887.498,5,2,3.209,6.483
1639758887.562,4,2,2.186,5.502
1639758887.562,5,2,3.194,6.482
1639758887.611,4,2,2.185,5.527
1639758887.611,5,2,3.171,6.481
1639758887.672,4,2,2.185,5.541
1639758887.672,5,2,3.157,6.481
1639758887.737,4,2,2.184,5.55
1639758887.737,5,2,3.148,6.481
1639758887.787,4,2,2.184,5.566
1639758887.787,5,2,3.13,6.48
1639758887.85,4,2,2.185,5.585
1639758887.85,5,2,3.114,6.48
1639758887.9,4,2,2.185,5.593
1639758887.9,5,2,3.107,6.48
1639758887.963,4,2,2.185,5.612
1639758887.963,5,2,3.091,6.48
1639758888.028,4,2,2.184,5.629
1639758888.028,5,2,3.074,6.479
1639758888.093,4,2,2.184,5.645
1639758888.093,5,2,3.057,6.479
1639758888.157,4,2,2.184,5.654
1639758888.157,5,2,3.048,6.478
1639758888.207,4,2,2.183,5.669
1639758888.207,5,2,3.032,6.478
1639758888.271,4,2,2.184,5.685
1639758888.271,5,2,3.015,6.477
1639758888.325,4,2,2.184,5.702
1639758888.325,5,2,2.997,6.475
1639758888.377,4,2,2.184,5.718
1639758888.377,5,2,2.979,6.474
1639758888.441,4,2,2.184,5.727
1639758888.441,5,2,2.972,6.474
1639758888.491,4,2,2.184,5.743
1639758888.491,5,2,2.958,6.474
1639758888.553,4,2,2.184,5.759
1639758888.553,5,2,2.944,6.474
1639758888.603,4,2,2.184,5.768
1639758888.603,5,2,2.937,6.475
1639758888.66,4,2,2.183,5.784
1639758888.66,5,2,2.921,6.475
1639758888.734,4,2,2.183,5.802
1639758888.734,5,2,2.908,6.475
1639758888.789,4,2,2.183,5.81
1639758888.789,5,2,2.912,6.475
1639758888.84,4,2,2.183,5.836
1639758888.84,5,2,2.914,6.475
1639758888.905,4,2,2.182,5.844
1639758888.905,5,2,2.913,6.475
1639758888.955,4,2,2.182,5.861
1639758888.955,5,2,2.913,6.475
1639758889.013,4,2,2.182,5.878
1639758889.013,5,2,2.913,6.475
1639758889.063,4,2,2.182,5.886
1639758889.063,5,2,2.913,6.475
1639758889.118,4,2,2.181,5.903
1639758889.118,5,2,2.913,6.475
1639758889.168,4,2,2.182,5.92
1639758889.168,5,2,2.913,6.475
1639758889.233,4,2,2.18,5.929
1639758889.233,5,2,2.913,6.475
1639758889.297,4,2,2.18,5.945
