time,tag,camera,x,y
1639758497.327,4,2,2.201,4.84
1639758497.327,5,2,3.835,6.486
1639758497.357,4,0,2.175,4.882
1639758497.396,4,0,2.175,4.882
1639758497.38,4,2,2.201,4.84
1639758497.38,5,2,3.835,6.486
1639758497.435,4,0,2.175,4.882
1639758497.441,4,2,2.201,4.84
1639758497.441,5,2,3.835,6.486
1639758497.473,4,0,2.175,4.882
1639758497.478,4,2,2.201,4.84
1639758497.478,5,2,3.835,6.486
1639758497.51,4,0,2.175,4.882
1639758497.548,4,0,2.175,4.882
1639758497.547,4,2,2.201,4.84
1639758497.547,5,2,3.835,6.486
1639758497.586,4,0,2.175,4.882
1639758497.605,4,2,2.201,4.84
1639758497.605,5,2,3.835,6.486
1639758497.623,4,0,2.175,4.882
1639758497.661,4,0,2.175,4.882
1639758497.654,4,2,2.201,4.84
1639758497.654,5,2,3.831,6.485
1639758497.699,4,0,2.175,4.882
1639758497.704,4,2,2.201,4.84
1639758497.704,5,2,3.82,6.485
1639758497.737,4,0,2.175,4.882
1639758497.76,4,2,2.201,4.84
1639758497.76,5,2,3.804,6.485
1639758497.775,4,0,2.175,4.882
1639758497.812,4,0,2.175,4.882
1639758497.808,4,2,2.201,4.84
1639758497.808,5,2,3.795,6.485
1639758497.85,4,0,2.175,4.882
1639758497.857,4,2,2.201,4.84
1639758497.857,5,2,3.778,6.484
1639758497.888,4,0,2.175,4.882
1639758497.91,4,2,2.201,4.84
1639758497.91,5,2,3.77,6.483
1639758497.926,4,0,2.175,4.882
1639758497.964,4,0,2.175,4.885
1639758497.961,4,2,2.201,4.842
1639758497.961,5,2,3.753,6.482
1639758498.001,4,0,2.175,4.895
1639758498.01,4,2,2.201,4.846
1639758498.01,5,2,3.745,6.482
1639758498.039,4,0,2.175,4.902
1639758498.077,4,0,2.175,4.91
1639758498.077,4,2,2.202,4.858
1639758498.077,5,2,3.727,6.48
1639758498.116,4,0,2.176,4.918
1639758498.126,4,2,2.202,4.865
1639758498.126,5,2,3.719,6.48
1639758498.154,4,0,2.174,4.925
1639758498.174,4,2,2.203,4.883
1639758498.174,5,2,3.704,6.479
1639758498.223,4,2,2.204,4.902
1639758498.223,5,2,3.691,6.479
1639758498.273,4,2,2.204,4.91
1639758498.273,5,2,3.685,6.479
1639758498.322,4,2,2.204,4.928
1639758498.322,5,2,3.668,6.478
1639758498.379,4,2,2.205,4.937
1639758498.379,5,2,3.661,6.478
1639758498.432,4,2,2.204,4.954
1639758498.432,5,2,3.644,6.476
1639758498.481,4,2,2.204,4.963
1639758498.481,5,2,3.636,6.476
1639758498.53,4,2,2.205,4.979
1639758498.53,5,2,3.621,6.475
1639758498.58,4,2,2.205,4.988
1639758498.58,5,2,3.614,6.476
1639758498.642,4,2,2.205,5.004
1639758498.642,5,2,3.598,6.475
1639758498.692,4,2,2.205,5.012
1639758498.692,5,2,3.59,6.476
1639758498.746,4,2,2.206,5.029
1639758498.746,5,2,3.573,6.476
1639758498.795,4,2,2.206,5.044
1639758498.795,5,2,3.557,6.475
1639758498.845,4,2,2.207,5.053
1639758498.845,5,2,3.549,6.476
1639758498.894,4,2,2.207,5.069
1639758498.894,5,2,3.532,6.475
1639758498.952,4,2,2.208,5.078
1639758498.952,5,2,3.525,6.474
1639758499.011,4,2,2.208,5.095
1639758499.011,5,2,3.508,6.473
1639758499.064,4,2,2.208,5.103
1639758499.064,5,2,3.5,6.474
1639758499.117,4,2,2.209,5.121
1639758499.117,5,2,3.483,6.472
1639758499.179,4,2,2.208,5.138
1639758499.179,5,2,3.468,6.472
1639758499.233,4,2,2.209,5.154
1639758499.233,5,2,3.451,6.47
1639758499.284,4,2,2.21,5.164
1639758499.284,5,2,3.443,6.469
1639758499.351,4,2,2.21,5.181
1639758499.351,5,2,3.426,6.469
1639758499.401,4,2,2.21,5.19
1639758499.401,5,2,3.418,6.468
1639758499.456,4,2,2.21,5.208
1639758499.456,5,2,3.402,6.468
1639758499.509,4,2,2.211,5.225
1639758499.509,5,2,3.387,6.467
1639758499.563,4,2,2.211,5.243
1639758499.563,5,2,3.371,6.466
1639758499.624,4,2,2.211,5.252
1639758499.624,5,2,3.363,6.466
1639758499.673,4,2,2.21,5.268
1639758499.673,5,2,3.346,6.465
1639758499.728,4,2,2.21,5.283
1639758499.728,5,2,3.329,6.464
1639758499.779,4,2,2.21,5.291
1639758499.779,5,2,3.319,6.463
1639758499.837,4,2,2.21,5.306
1639758499.837,5,2,3.301,6.462
1639758499.89,4,2,2.21,5.314
1639758499.89,5,2,3.294,6.462
1639758499.938,4,2,2.211,5.332
1639758499.938,5,2,3.278,6.461
1639758499.991,4,2,2.212,5.351
1639758499.991,5,2,3.264,6.46
1639758500.041,4,2,2.212,5.36
1639758500.041,5,2,3.257,6.461
1639758500.088,4,2,2.212,5.378
1639758500.088,5,2,3.24,6.459
1639758500.15,4,2,2.213,5.387
1639758500.15,5,2,3.231,6.459
1639758500.201,4,2,2.212,5.404
1639758500.201,5,2,3.216,6.458
1639758500.25,4,2,2.212,5.412
1639758500.25,5,2,3.207,6.458
1639758500.298,4,2,2.212,5.428
1639758500.298,5,2,3.192,6.456
1639758500.347,4,2,2.212,5.436
1639758500.347,5,2,3.184,6.456
1639758500.41,4,2,2.212,5.452
1639758500.41,5,2,3.169,6.456
1639758500.462,4,2,2.213,5.46
1639758500.462,5,2,3.16,6.457
1639758500.509,4,2,2.213,5.475
1639758500.509,5,2,3.144,6.457
1639758500.559,4,2,2.213,5.491
1639758500.559,5,2,3.127,6.457
1639758500.609,4,2,2.213,5.5
1639758500.609,5,2,3.119,6.456
1639758500.665,4,2,2.214,5.516
1639758500.665,5,2,3.103,6.455
1639758500.714,4,2,2.214,5.525
1639758500.714,5,2,3.095,6.455
1639758500.78,4,2,2.214,5.541
1639758500.78,5,2,3.079,6.454
1639758500.828,4,2,2.215,5.55
1639758500.828,5,2,3.07,6.453
1639758500.883,4,2,2.215,5.567
1639758500.883,5,2,3.054,6.452
1639758500.946,4,2,2.215,5.583
1639758500.946,5,2,3.038,6.45
1639758500.996,4,2,2.215,5.591
1639758500.996,5,2,3.03,6.45
1639758501.05,4,2,2.215,5.609
1639758501.05,5,2,3.012,6.448
1639758501.099,4,2,2.216,5.625
1639758501.099,5,2,2.996,6.448
1639758501.151,4,2,2.216,5.643
1639758501.151,5,2,2.98,6.447
1639758501.211,4,2,2.216,5.651
1639758501.211,5,2,2.973,6.448
1639758501.262,4,2,2.217,5.669
1639758501.262,5,2,2.957,6.447
1639758501.31,4,2,2.217,5.678
1639758501.31,5,2,2.949,6.447
1639758501.365,4,2,2.216,5.695
1639758501.365,5,2,2.932,6.446
1639758501.421,4,2,2.216,5.704
1639758501.421,5,2,2.923,6.446
1639758501.478,4,2,2.215,5.719
1639758501.478,5,2,2.917,6.445
1639758501.534,4,2,2.215,5.734
1639758501.534,5,2,2.921,6.445
1639758501.582,4,2,2.215,5.741
1639758501.582,5,2,2.922,6.445
1639758501.632,4,2,2.215,5.758
1639758501.632,5,2,2.92,6.445
1639758501.686,4,2,2.216,5.766
1639758501.686,5,2,2.92,6.445
1639758501.746,4,2,2.217,5.784
1639758501.746,5,2,2.92,6.445
1639758501.796,4,2,2.217,5.802
1639758501.796,5,2,2.921,6.445
1639758501.846,4,2,2.217,5.811
1639758501.846,5,2,2.921,6.445
1639758501.897,4,2,2.217,5.827
1639758501.897,5,2,2.92,6.445
1639758501.951,4,2,2.217,5.836
1639758501.951,5,2,2.921,6.445
1639758502.016,4,2,2.217,5.854
1639758502.016,5,2,2.921,6.445
1639758502.066,4,2,2.217,5.87
1639758502.066,5,2,2.92,6.445
1639758502.114,4,2,2.217,5.878
1639758502.114,5,2,2.921,6.445
1639758502.162,4,2,2.218,5.894
1639758502.162,5,2,2.92,6.445
1639758502.217,4,2,2.218,5.902
1639758502.217,5,2,2.921,6.445
1639758502.282,4,2,2.219,5.918
1639758502.282,5,2,2.92,6.445
1639758502.35,4,2,2.218,5.934
1639758502.35,5,2,2.92,6.445
1639758502.413,4,2,2.219,5.951
1639758502.413,5,2,2.92,6.445
1639758502.478,4,2,2.219,5.968
1639758502.478,5,2,2.92,6.445
1639758502.549,4,2,2.219,5.977
1639758502.549,5,2,2.92,6.445
1639758502.614,4,2,2.219,5.993
1639758502.614,5,2,2.92,6.445
1639758502.686,4,2,2.219,6.018
1639758502.686,5,2,2.92,6.445
1639758502.744,4,2,2.219,6.026
1639758502.744,5,2,2.92,6.445
1639758502.8,4,2,2.22,6.051
1639758502.8,5,2,2.921,6.445
1639758502.856,4,2,2.22,6.06
1639758502.856,5,2,2.92,6.445
1639758502.91,4,2,2.219,6.076
1639758502.91,5,2,2.921,6.445
1639758502.972,4,2,2.22,6.094
1639758502.972,5,2,2.92,6.445
1639758503.022,4,2,2.22,6.102
1639758503.022,5,2,2.92,6.445
1639758503.084,4,2,2.22,6.119
1639758503.084,5,2,2.92,6.445
1639758503.134,4,2,2.219,6.136
1639758503.134,5,2,2.92,6.445
1639758503.191,4,2,2.219,6.151
1639758503.191,5,2,2.921,6.445
1639758503.247,4,2,2.219,6.159
1639758503.247,5,2,2.92,6.445
1639758503.307,4,2,2.218,6.174
1639758503.307,5,2,2.92,6.445
1639758503.356,4,2,2.219,6.191
1639758503.356,5,2,2.92,6.445
1639758503.411,4,2,2.22,6.199
1639758503.411,5,2,2.92,6.445
1639758503.474,4,2,2.22,6.217
1639758503.474,5,2,2.921,6.445
1639758503.523,4,2,2.221,6.226
1639758503.523,5,2,2.921,6.445
1639758503.579,4,2,2.221,6.243
1639758503.579,5,2,2.921,6.445
1639758503.627,4,2,2.222,6.261
1639758503.627,5,2,2.921,6.445
1639758503.676,4,2,2.221,6.27
1639758503.676,5,2,2.92,6.445
1639758503.74,4,2,2.221,6.287
1639758503.74,5,2,2.92,6.445
1639758503.79,4,2,2.221,6.295
1639758503.79,5,2,2.921,6.445
1639758503.846,4,2,2.221,6.312
1639758503.846,5,2,2.92,6.445
1639758503.896,4,2,2.221,6.327
