time,tag,camera,x,y
1642260539617,4,0,2.165,4.861
1642260539634,5,2,3.845,6.444
1642260539661,4,0,2.165,4.861
1642260539707,4,0,2.165,4.861
1642260539689,5,2,3.845,6.444
1642260539741,4,0,2.165,4.861
1642260539748,5,2,3.845,6.444
1642260539781,4,0,2.165,4.861
1642260539804,5,2,3.845,6.444
1642260539822,4,0,2.165,4.861
1642260539864,4,0,2.165,4.861
1642260539855,5,2,3.845,6.444
1642260539897,4,0,2.165,4.86
1642260539938,4,0,2.165,4.861
1642260539919,5,2,3.845,6.444
1642260539971,4,0,2.165,4.861
1642260539980,5,2,3.845,6.444
1642260540012,4,0,2.165,4.861
1642260540028,5,2,3.845,6.444
1642260540054,4,0,2.165,4.86
1642260540095,4,0,2.165,4.861
1642260540080,5,2,3.845,6.444
1642260540128,4,0,2.165,4.861
1642260540139,5,2,3.845,6.444
1642260540169,4,0,2.165,4.861
1642260540183,5,2,3.845,6.444
1642260540214,4,0,2.165,4.861
1642260540255,4,0,2.165,4.861
1642260540248,5,2,3.845,6.444
1642260540288,4,0,2.165,4.861
1642260540330,4,0,2.165,4.861
1642260540311,5,2,3.845,6.444
1642260540364,4,0,2.165,4.861
1642260540373,5,2,3.845,6.444
1642260540404,4,0,2.165,4.865
1642260540427,5,2,3.845,6.444
1642260540446,4,0,2.165,4.869
1642260540494,4,0,2.165,4.881
1642260540477,4,2,2.191,4.83
1642260540477,5,2,3.845,6.444
1642260540529,4,0,2.164,4.889
1642260540540,4,2,2.19,4.843
1642260540540,5,2,3.845,6.444
1642260540571,4,0,2.164,4.896
1642260540588,4,2,2.19,4.85
1642260540588,5,2,3.846,6.444
1642260540622,4,0,2.164,4.903
1642260540646,4,2,2.19,4.864
1642260540646,5,2,3.84,6.445
1642260540665,4,0,2.164,4.91
1642260540706,4,0,2.164,4.923
1642260540697,4,2,2.19,4.878
1642260540697,5,2,3.831,6.445
1642260540755,4,2,2.191,4.884
1642260540755,5,2,3.825,6.446
1642260540803,4,2,2.191,4.897
1642260540803,5,2,3.812,6.446
1642260540852,4,2,2.191,4.912
1642260540852,5,2,3.798,6.446
1642260540906,4,2,2.191,4.917
1642260540906,5,2,3.791,6.447
1642260540950,4,2,2.191,4.926
1642260540950,5,2,3.783,6.447
1642260540997,4,2,2.19,4.938
1642260540997,5,2,3.77,6.447
1642260541059,4,2,2.189,4.946
1642260541059,5,2,3.763,6.447
1642260541109,4,2,2.189,4.96
1642260541109,5,2,3.748,6.448
1642260541158,4,2,2.189,4.973
1642260541158,5,2,3.736,6.446
1642260541205,4,2,2.189,4.979
1642260541205,5,2,3.73,6.446
1642260541260,4,2,2.188,4.992
